,TIPO_ELECCION,AÑO,MES,VUELTA,COD_CCAA,COD_PROV,COD_MUN,DISTRITO,SECCION,MESA,COD_CAND,VOTOS_CAND
0,4,2015,5,1,1,4,5,1,1,U,PARTIDO POPULAR,310
1,4,2015,5,1,1,4,5,1,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,197
2,4,2015,5,1,1,11,5,1,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,69
3,4,2015,5,1,1,11,5,1,1,A,PARTIDO POPULAR,114
4,4,2015,5,1,1,11,5,1,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,215
5,4,2015,5,1,1,11,5,1,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,51
6,4,2015,5,1,1,11,5,1,1,B,PARTIDO POPULAR,123
7,4,2015,5,1,1,11,5,1,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,198
8,4,2015,5,1,1,11,5,1,3,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,114
9,4,2015,5,1,1,11,5,1,3,A,PARTIDO POPULAR,52
10,4,2015,5,1,1,11,5,1,3,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,178
11,4,2015,5,1,1,11,5,1,3,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,106
12,4,2015,5,1,1,11,5,1,3,B,PARTIDO POPULAR,94
13,4,2015,5,1,1,11,5,1,3,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,225
14,4,2015,5,1,1,11,5,1,4,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,105
15,4,2015,5,1,1,11,5,1,4,U,PARTIDO POPULAR,32
16,4,2015,5,1,1,11,5,1,4,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,211
17,4,2015,5,1,1,11,5,2,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,19
18,4,2015,5,1,1,11,5,2,1,A,PARTIDO POPULAR,43
19,4,2015,5,1,1,11,5,2,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,85
20,4,2015,5,1,1,11,5,2,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,108
21,4,2015,5,1,1,11,5,2,1,B,PARTIDO POPULAR,99
22,4,2015,5,1,1,11,5,2,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,208
23,4,2015,5,1,1,11,5,2,1,C,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,93
24,4,2015,5,1,1,11,5,2,1,C,PARTIDO POPULAR,120
25,4,2015,5,1,1,11,5,2,1,C,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,159
26,4,2015,5,1,1,14,5,1,2,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,301
27,4,2015,5,1,1,14,5,1,2,U,PARTIDO POPULAR,68
28,4,2015,5,1,1,14,5,1,2,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,216
29,4,2015,5,1,1,14,5,1,3,U,GANEMOS ALMODOVAR DEL RIO,86
30,4,2015,5,1,1,14,5,1,3,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,264
