,TIPO_ELECCION,AÑO,MES,VUELTA,COD_CCAA,COD_PROV,COD_MUN,DISTRITO,SECCION,MESA,COD_CAND,VOTOS_CAND
0,4,2015,5,1,1,4,6,1,1,A,CIUDADANOS LIBRES UNIDOS,46
1,4,2015,5,1,1,4,6,1,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,10
2,4,2015,5,1,1,4,6,1,1,A,PARTIDO POPULAR,226
3,4,2015,5,1,1,4,6,1,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,169
4,4,2015,5,1,1,4,6,1,1,B,CIUDADANOS LIBRES UNIDOS,52
5,4,2015,5,1,1,4,6,1,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,18
6,4,2015,5,1,1,4,6,1,1,B,PARTIDO POPULAR,138
7,4,2015,5,1,1,4,6,1,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,139
8,4,2015,5,1,1,4,6,1,2,A,CIUDADANOS LIBRES UNIDOS,41
9,4,2015,5,1,1,4,6,1,2,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,21
10,4,2015,5,1,1,4,6,1,2,A,PARTIDO POPULAR,202
11,4,2015,5,1,1,4,6,1,2,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,170
12,4,2015,5,1,1,4,6,1,2,B,CIUDADANOS LIBRES UNIDOS,43
13,4,2015,5,1,1,4,6,1,2,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,15
14,4,2015,5,1,1,4,6,1,2,B,PARTIDO POPULAR,203
15,4,2015,5,1,1,4,6,1,2,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,188
16,4,2015,5,1,1,4,6,2,1,A,CIUDADANOS LIBRES UNIDOS,31
17,4,2015,5,1,1,4,6,2,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,17
18,4,2015,5,1,1,4,6,2,1,A,PARTIDO POPULAR,246
19,4,2015,5,1,1,4,6,2,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,352
20,4,2015,5,1,1,4,6,2,1,B,CIUDADANOS LIBRES UNIDOS,38
21,4,2015,5,1,1,4,6,2,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,10
22,4,2015,5,1,1,4,6,2,1,B,PARTIDO POPULAR,218
23,4,2015,5,1,1,4,6,2,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,365
24,4,2015,5,1,1,4,6,2,2,U,CIUDADANOS LIBRES UNIDOS,19
25,4,2015,5,1,1,4,6,2,2,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,19
26,4,2015,5,1,1,4,6,2,2,U,PARTIDO POPULAR,195
27,4,2015,5,1,1,4,6,2,2,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,338
28,4,2015,5,1,1,4,6,3,1,A,CIUDADANOS LIBRES UNIDOS,22
29,4,2015,5,1,1,4,6,3,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,14
30,4,2015,5,1,1,4,6,3,1,A,PARTIDO POPULAR,125
31,4,2015,5,1,1,4,6,3,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,184
32,4,2015,5,1,1,4,6,3,1,B,CIUDADANOS LIBRES UNIDOS,11
