,TIPO_ELECCION,AÑO,MES,VUELTA,COD_CCAA,COD_PROV,COD_MUN,DISTRITO,SECCION,MESA,COD_CAND,VOTOS_CAND
0,4,2015,5,1,1,4,7,1,1,U,IZQUIERDA UNIDA LOS VERDES -CONVOCATORIA POR ANDAL,317
1,4,2015,5,1,1,4,7,1,1,U,PARTIDO POPULAR,46
2,4,2015,5,1,1,4,7,1,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,251
3,4,2015,5,1,1,11,7,1,1,A,AGRUPACION LIBRE BARBATEÑA,1
4,4,2015,5,1,1,11,7,1,1,A,GENTE DE ZAHARA,0
5,4,2015,5,1,1,11,7,1,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,22
6,4,2015,5,1,1,11,7,1,1,A,mas Iniciativa Barbate,4
7,4,2015,5,1,1,11,7,1,1,A,PARTIDO ANDALUCISTA,180
8,4,2015,5,1,1,11,7,1,1,A,PARTIDO BARBATEÑO UNIDO,13
9,4,2015,5,1,1,11,7,1,1,A,PARTIDO POPULAR,113
10,4,2015,5,1,1,11,7,1,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,46
11,4,2015,5,1,1,11,7,1,1,A,SOMOS BARBATE,43
12,4,2015,5,1,1,11,7,1,1,B,AGRUPACION LIBRE BARBATEÑA,1
13,4,2015,5,1,1,11,7,1,1,B,GENTE DE ZAHARA,2
14,4,2015,5,1,1,11,7,1,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,27
15,4,2015,5,1,1,11,7,1,1,B,mas Iniciativa Barbate,2
16,4,2015,5,1,1,11,7,1,1,B,PARTIDO ANDALUCISTA,179
17,4,2015,5,1,1,11,7,1,1,B,PARTIDO BARBATEÑO UNIDO,8
18,4,2015,5,1,1,11,7,1,1,B,PARTIDO POPULAR,111
19,4,2015,5,1,1,11,7,1,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,63
20,4,2015,5,1,1,11,7,1,1,B,SOMOS BARBATE,48
21,4,2015,5,1,1,11,7,1,3,U,AGRUPACION LIBRE BARBATEÑA,4
22,4,2015,5,1,1,11,7,1,3,U,GENTE DE ZAHARA,0
23,4,2015,5,1,1,11,7,1,3,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,50
24,4,2015,5,1,1,11,7,1,3,U,mas Iniciativa Barbate,8
25,4,2015,5,1,1,11,7,1,3,U,PARTIDO ANDALUCISTA,181
26,4,2015,5,1,1,11,7,1,3,U,PARTIDO BARBATEÑO UNIDO,13
27,4,2015,5,1,1,11,7,1,3,U,PARTIDO POPULAR,142
28,4,2015,5,1,1,11,7,1,3,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,70
29,4,2015,5,1,1,11,7,1,3,U,SOMOS BARBATE,77
30,4,2015,5,1,1,11,7,1,4,A,AGRUPACION LIBRE BARBATEÑA,1
31,4,2015,5,1,1,11,7,1,4,A,GENTE DE ZAHARA,0
32,4,2015,5,1,1,11,7,1,4,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,35
33,4,2015,5,1,1,11,7,1,4,A,mas Iniciativa Barbate,5
34,4,2015,5,1,1,11,7,1,4,A,PARTIDO ANDALUCISTA,110
35,4,2015,5,1,1,11,7,1,4,A,PARTIDO BARBATEÑO UNIDO,6
36,4,2015,5,1,1,11,7,1,4,A,PARTIDO POPULAR,58
37,4,2015,5,1,1,11,7,1,4,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,47
38,4,2015,5,1,1,11,7,1,4,A,SOMOS BARBATE,22
39,4,2015,5,1,1,11,7,1,4,B,AGRUPACION LIBRE BARBATEÑA,2
40,4,2015,5,1,1,11,7,1,4,B,GENTE DE ZAHARA,0
