,TIPO_ELECCION,AÑO,MES,VUELTA,COD_CCAA,COD_PROV,COD_MUN,DISTRITO,SECCION,MESA,COD_CAND,VOTOS_CAND
0,4,2015,5,1,1,11,9,1,1,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,22
1,4,2015,5,1,1,11,9,1,1,U,PARTIDO POPULAR,210
2,4,2015,5,1,1,11,9,1,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,221
3,4,2015,5,1,1,14,9,1,1,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,139
4,4,2015,5,1,1,14,9,1,1,U,PARTIDO POPULAR,77
5,4,2015,5,1,1,14,9,1,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,284
6,4,2015,5,1,1,14,9,1,2,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,139
7,4,2015,5,1,1,14,9,1,2,U,PARTIDO POPULAR,58
8,4,2015,5,1,1,14,9,1,2,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,183
9,4,2015,5,1,1,14,9,2,1,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,192
10,4,2015,5,1,1,14,9,2,1,U,PARTIDO POPULAR,90
11,4,2015,5,1,1,14,9,2,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,266
12,4,2015,5,1,1,14,9,3,1,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,209
13,4,2015,5,1,1,14,9,3,1,U,PARTIDO POPULAR,93
14,4,2015,5,1,1,14,9,3,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,312
15,4,2015,5,1,1,21,9,1,1,U,INDEPENDIENTES DE ARROYOMOLINOS DE LEON,104
16,4,2015,5,1,1,21,9,1,1,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,97
17,4,2015,5,1,1,21,9,1,1,U,PARTIDO POPULAR,119
18,4,2015,5,1,1,21,9,1,1,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,335
19,4,2015,5,1,1,23,9,2,2,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,188
20,4,2015,5,1,1,23,9,2,3,A,CIUDADANOS-PARTIDO DE LA CIUDADANIA,47
21,4,2015,5,1,1,23,9,2,3,A,IMAGINA BAEZA,15
22,4,2015,5,1,1,23,9,2,3,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,28
23,4,2015,5,1,1,23,9,2,3,A,PARTIDO POPULAR,118
24,4,2015,5,1,1,23,9,2,3,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,122
25,4,2015,5,1,1,23,9,2,3,B,CIUDADANOS-PARTIDO DE LA CIUDADANIA,65
26,4,2015,5,1,1,23,9,2,3,B,IMAGINA BAEZA,24
27,4,2015,5,1,1,23,9,2,3,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,27
28,4,2015,5,1,1,23,9,2,3,B,PARTIDO POPULAR,166
29,4,2015,5,1,1,23,9,2,3,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,228
30,4,2015,5,1,1,23,9,2,3,C,CIUDADANOS-PARTIDO DE LA CIUDADANIA,39
31,4,2015,5,1,1,23,9,2,3,C,IMAGINA BAEZA,23
32,4,2015,5,1,1,23,9,2,3,C,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,22
33,4,2015,5,1,1,23,9,2,3,C,PARTIDO POPULAR,93
34,4,2015,5,1,1,23,9,2,3,C,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,184
35,4,2015,5,1,1,23,9,2,4,A,CIUDADANOS-PARTIDO DE LA CIUDADANIA,40
36,4,2015,5,1,1,23,9,2,4,A,IMAGINA BAEZA,12
37,4,2015,5,1,1,23,9,2,4,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,28
38,4,2015,5,1,1,23,9,2,4,A,PARTIDO POPULAR,94
39,4,2015,5,1,1,23,9,2,4,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,223
40,4,2015,5,1,1,23,9,2,4,B,CIUDADANOS-PARTIDO DE LA CIUDADANIA,35
41,4,2015,5,1,1,23,9,2,4,B,IMAGINA BAEZA,24
42,4,2015,5,1,1,23,9,2,4,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,16
43,4,2015,5,1,1,23,9,2,4,B,PARTIDO POPULAR,105
44,4,2015,5,1,1,23,9,2,4,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,194
45,4,2015,5,1,1,23,9,2,5,A,CIUDADANOS-PARTIDO DE LA CIUDADANIA,52
46,4,2015,5,1,1,23,9,2,5,A,IMAGINA BAEZA,25
47,4,2015,5,1,1,23,9,2,5,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,18
48,4,2015,5,1,1,23,9,2,5,A,PARTIDO POPULAR,113
49,4,2015,5,1,1,23,9,2,5,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,152
50,4,2015,5,1,1,23,9,2,5,B,CIUDADANOS-PARTIDO DE LA CIUDADANIA,29
51,4,2015,5,1,1,23,9,2,5,B,IMAGINA BAEZA,20
52,4,2015,5,1,1,23,9,2,5,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,28
53,4,2015,5,1,1,23,9,2,5,B,PARTIDO POPULAR,133
54,4,2015,5,1,1,23,9,2,5,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,168
55,4,2015,5,1,1,23,9,3,1,A,CIUDADANOS-PARTIDO DE LA CIUDADANIA,51
56,4,2015,5,1,1,23,9,3,1,A,IMAGINA BAEZA,19
57,4,2015,5,1,1,23,9,3,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,20
58,4,2015,5,1,1,23,9,3,1,A,PARTIDO POPULAR,126
59,4,2015,5,1,1,23,9,3,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,167
60,4,2015,5,1,1,23,9,3,1,B,CIUDADANOS-PARTIDO DE LA CIUDADANIA,42
61,4,2015,5,1,1,23,9,3,1,B,IMAGINA BAEZA,18
62,4,2015,5,1,1,23,9,3,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,24
63,4,2015,5,1,1,23,9,3,1,B,PARTIDO POPULAR,141
64,4,2015,5,1,1,23,9,3,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,211
65,4,2015,5,1,1,23,9,3,2,U,CIUDADANOS-PARTIDO DE LA CIUDADANIA,62
66,4,2015,5,1,1,23,9,3,2,U,IMAGINA BAEZA,15
67,4,2015,5,1,1,23,9,3,2,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,19
68,4,2015,5,1,1,23,9,3,2,U,PARTIDO POPULAR,279
69,4,2015,5,1,1,23,9,3,2,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCÍA,152
