,TIPO_ELECCION,AÑO,MES,VUELTA,COD_CCAA,COD_PROV,COD_MUN,DISTRITO,SECCION,MESA,COD_CAND,VOTOS_CAND
0,4,2015,5,1,1,4,13,1,3,A,PARTIDO ANDALUCISTA,8
1,4,2015,5,1,1,4,13,1,3,A,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,6
2,4,2015,5,1,1,4,13,1,3,A,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,0
3,4,2015,5,1,1,4,13,1,3,A,PARTIDO MULTICULTURAL POR LA JUSTICIA SOCIAL,0
4,4,2015,5,1,1,4,13,1,3,A,PARTIDO POPULAR,124
5,4,2015,5,1,1,4,13,1,3,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,75
6,4,2015,5,1,1,4,13,1,3,A,UNIÓN POR ALMERÍA,1
7,4,2015,5,1,1,4,13,1,3,A,UNIÓN PROGRESO Y DEMOCRACIA,4
8,4,2015,5,1,1,4,13,1,3,A,VOX,2
9,4,2015,5,1,1,4,13,1,3,B,AHORA ALMERÍA,12
10,4,2015,5,1,1,4,13,1,3,B,CIUDADANOS-PARTIDO DE LA CIUDADANIA,10
11,4,2015,5,1,1,4,13,1,3,B,EQUO,5
12,4,2015,5,1,1,4,13,1,3,B,FALANGE ESPAÑOLA DE LAS J.O.N.S.,1
13,4,2015,5,1,1,4,13,1,3,B,"GANEMOS ALMERÍA. SÍ, SE PUEDE",5
14,4,2015,5,1,1,4,13,1,3,B,IZQUIERDA UNIDA -LOS VERDES-CONVOCATORIA POR ANDAL,23
15,4,2015,5,1,1,4,13,1,3,B,PARTIDO ANDALUCISTA,1
16,4,2015,5,1,1,4,13,1,3,B,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,1
17,4,2015,5,1,1,4,13,1,3,B,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,1
18,4,2015,5,1,1,4,13,1,3,B,PARTIDO MULTICULTURAL POR LA JUSTICIA SOCIAL,0
19,4,2015,5,1,1,4,13,1,3,B,PARTIDO POPULAR,116
20,4,2015,5,1,1,4,13,1,3,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,74
21,4,2015,5,1,1,4,13,1,3,B,UNIÓN POR ALMERÍA,1
22,4,2015,5,1,1,4,13,1,3,B,UNIÓN PROGRESO Y DEMOCRACIA,9
23,4,2015,5,1,1,4,13,1,3,B,VOX,4
24,4,2015,5,1,1,4,13,2,1,A,AHORA ALMERÍA,14
25,4,2015,5,1,1,4,13,2,1,A,CIUDADANOS-PARTIDO DE LA CIUDADANIA,22
26,4,2015,5,1,1,4,13,2,1,A,EQUO,9
27,4,2015,5,1,1,4,13,2,1,A,FALANGE ESPAÑOLA DE LAS J.O.N.S.,3
28,4,2015,5,1,1,4,13,2,1,A,"GANEMOS ALMERÍA. SÍ, SE PUEDE",9
29,4,2015,5,1,1,4,13,2,1,A,IZQUIERDA UNIDA -LOS VERDES-CONVOCATORIA POR ANDAL,26
30,4,2015,5,1,1,4,13,2,1,A,PARTIDO ANDALUCISTA,1
31,4,2015,5,1,1,4,13,2,1,A,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,3
32,4,2015,5,1,1,4,13,2,1,A,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,0
33,4,2015,5,1,1,4,13,2,1,A,PARTIDO MULTICULTURAL POR LA JUSTICIA SOCIAL,0
34,4,2015,5,1,1,4,13,2,1,A,PARTIDO POPULAR,157
35,4,2015,5,1,1,4,13,2,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,67
36,4,2015,5,1,1,4,13,2,1,A,UNIÓN POR ALMERÍA,0
37,4,2015,5,1,1,4,13,2,1,A,UNIÓN PROGRESO Y DEMOCRACIA,9
38,4,2015,5,1,1,4,13,2,1,A,VOX,1
39,4,2015,5,1,1,4,13,2,1,B,AHORA ALMERÍA,18
40,4,2015,5,1,1,4,13,2,1,B,CIUDADANOS-PARTIDO DE LA CIUDADANIA,27
41,4,2015,5,1,1,4,13,2,1,B,EQUO,10
42,4,2015,5,1,1,4,13,2,1,B,FALANGE ESPAÑOLA DE LAS J.O.N.S.,0
43,4,2015,5,1,1,4,13,2,1,B,"GANEMOS ALMERÍA. SÍ, SE PUEDE",10
44,4,2015,5,1,1,4,13,2,1,B,IZQUIERDA UNIDA -LOS VERDES-CONVOCATORIA POR ANDAL,16
45,4,2015,5,1,1,4,13,2,1,B,PARTIDO ANDALUCISTA,0
46,4,2015,5,1,1,4,13,2,1,B,PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL,4
47,4,2015,5,1,1,4,13,2,1,B,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,2
48,4,2015,5,1,1,4,13,2,1,B,PARTIDO MULTICULTURAL POR LA JUSTICIA SOCIAL,1
49,4,2015,5,1,1,4,13,2,1,B,PARTIDO POPULAR,159
50,4,2015,5,1,1,4,13,2,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,54
51,4,2015,5,1,1,4,13,2,1,B,UNIÓN POR ALMERÍA,0
52,4,2015,5,1,1,4,13,2,1,B,UNIÓN PROGRESO Y DEMOCRACIA,12
53,4,2015,5,1,1,4,13,2,1,B,VOX,1
54,4,2015,5,1,1,4,13,2,2,U,AHORA ALMERÍA,9
55,4,2015,5,1,1,4,13,2,2,U,CIUDADANOS-PARTIDO DE LA CIUDADANIA,33
56,4,2015,5,1,1,4,13,2,2,U,EQUO,3
57,4,2015,5,1,1,4,13,2,2,U,FALANGE ESPAÑOLA DE LAS J.O.N.S.,2
58,4,2015,5,1,1,4,13,2,2,U,"GANEMOS ALMERÍA. SÍ, SE PUEDE",6
59,4,2015,5,1,1,4,13,2,2,U,IZQUIERDA UNIDA -LOS VERDES-CONVOCATORIA POR ANDAL,20
