,TIPO_ELECCION,AÑO,MES,VUELTA,COD_CCAA,COD_PROV,COD_MUN,DISTRITO,SECCION,MESA,COD_CAND,VOTOS_CAND
0,4,2015,5,1,1,11,14,1,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,131
1,4,2015,5,1,1,11,14,1,1,A,PARTIDO ANDALUCISTA,38
2,4,2015,5,1,1,11,14,1,1,A,PARTIDO POPULAR,40
3,4,2015,5,1,1,11,14,1,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL,112
4,4,2015,5,1,1,11,14,1,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,118
5,4,2015,5,1,1,11,14,1,1,B,PARTIDO ANDALUCISTA,28
6,4,2015,5,1,1,11,14,1,1,B,PARTIDO POPULAR,29
7,4,2015,5,1,1,11,14,1,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL,105
8,4,2015,5,1,1,11,14,1,3,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,162
9,4,2015,5,1,1,11,14,1,3,A,PARTIDO ANDALUCISTA,51
10,4,2015,5,1,1,11,14,1,3,A,PARTIDO POPULAR,36
11,4,2015,5,1,1,11,14,1,3,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL,63
12,4,2015,5,1,1,11,14,1,3,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,136
13,4,2015,5,1,1,11,14,1,3,B,PARTIDO ANDALUCISTA,58
14,4,2015,5,1,1,11,14,1,3,B,PARTIDO POPULAR,23
15,4,2015,5,1,1,11,14,1,3,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL,76
16,4,2015,5,1,1,11,14,1,3,C,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,136
17,4,2015,5,1,1,11,14,1,3,C,PARTIDO ANDALUCISTA,48
18,4,2015,5,1,1,11,14,1,3,C,PARTIDO POPULAR,38
19,4,2015,5,1,1,11,14,1,3,C,PARTIDO SOCIALISTA OBRERO ESPAÑOL,70
20,4,2015,5,1,1,11,14,1,4,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,226
21,4,2015,5,1,1,11,14,1,4,U,PARTIDO ANDALUCISTA,59
22,4,2015,5,1,1,11,14,1,4,U,PARTIDO POPULAR,35
23,4,2015,5,1,1,11,14,1,4,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL,123
24,4,2015,5,1,1,11,14,1,5,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,169
25,4,2015,5,1,1,11,14,1,5,A,PARTIDO ANDALUCISTA,26
26,4,2015,5,1,1,11,14,1,5,A,PARTIDO POPULAR,47
27,4,2015,5,1,1,11,14,1,5,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL,107
28,4,2015,5,1,1,11,14,1,5,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,234
29,4,2015,5,1,1,11,14,1,5,B,PARTIDO ANDALUCISTA,35
30,4,2015,5,1,1,11,14,1,5,B,PARTIDO POPULAR,42
31,4,2015,5,1,1,11,14,1,5,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL,148
32,4,2015,5,1,1,11,14,1,6,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,55
33,4,2015,5,1,1,11,14,1,6,A,PARTIDO ANDALUCISTA,14
34,4,2015,5,1,1,11,14,1,6,A,PARTIDO POPULAR,94
35,4,2015,5,1,1,11,14,1,6,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL,69
36,4,2015,5,1,1,11,14,1,6,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,61
37,4,2015,5,1,1,11,14,1,6,B,PARTIDO ANDALUCISTA,18
38,4,2015,5,1,1,11,14,1,6,B,PARTIDO POPULAR,83
39,4,2015,5,1,1,11,14,1,6,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL,67
40,4,2015,5,1,1,11,14,2,1,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,128
41,4,2015,5,1,1,11,14,2,1,A,PARTIDO ANDALUCISTA,32
42,4,2015,5,1,1,11,14,2,1,A,PARTIDO POPULAR,35
43,4,2015,5,1,1,11,14,2,1,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL,70
44,4,2015,5,1,1,11,14,2,1,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,168
45,4,2015,5,1,1,11,14,2,1,B,PARTIDO ANDALUCISTA,45
46,4,2015,5,1,1,11,14,2,1,B,PARTIDO POPULAR,28
47,4,2015,5,1,1,11,14,2,1,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL,96
48,4,2015,5,1,1,11,14,2,2,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,132
49,4,2015,5,1,1,11,14,2,2,U,PARTIDO ANDALUCISTA,22
50,4,2015,5,1,1,11,14,2,2,U,PARTIDO POPULAR,88
51,4,2015,5,1,1,11,14,2,2,U,PARTIDO SOCIALISTA OBRERO ESPAÑOL,114
52,4,2015,5,1,1,11,14,2,3,A,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,101
53,4,2015,5,1,1,11,14,2,3,A,PARTIDO ANDALUCISTA,34
54,4,2015,5,1,1,11,14,2,3,A,PARTIDO POPULAR,43
55,4,2015,5,1,1,11,14,2,3,A,PARTIDO SOCIALISTA OBRERO ESPAÑOL,65
56,4,2015,5,1,1,11,14,2,3,B,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,142
57,4,2015,5,1,1,11,14,2,3,B,PARTIDO ANDALUCISTA,42
58,4,2015,5,1,1,11,14,2,3,B,PARTIDO POPULAR,33
59,4,2015,5,1,1,11,14,2,3,B,PARTIDO SOCIALISTA OBRERO ESPAÑOL,83
60,4,2015,5,1,1,11,14,2,4,U,IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALU,206
61,4,2015,5,1,1,11,14,2,4,U,PARTIDO ANDALUCISTA,50
