TIPO_ELECCION;ANIO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
04;2015;05;000198;AGRUPACION;AGRUPACION DE ELECTORES EL VISO SI PUEDE;000198;000198;000198
04;2015;05;000199;AGRUPACION;AGRUPACION DE ELECTORES EN MOVIMIENTO VALVERDE DE;000199;000199;000199
04;2015;05;000200;Errenteria;AGRUPACION DE ELECTORES ERRENTERIA IRABAZIZ;000200;000200;000200
04;2015;05;000201;G.H.E;AGRUPACIÓN DE ELECTORES "GABIRIA";000201;000201;000201
04;2015;05;000202;GANA LANTEI;AGRUPACIÓN DE ELECTORES GANA LANTEIRA;000202;000202;000202
04;2015;05;000203;A.d.E.G.A.S;AGRUPACION DE ELECTORES GANEMOS ALPUJARRA DE LA SI;000203;000203;000203
04;2015;05;000204;G.J.;AGRUPACION DE ELECTORES GANEMOS JEREZ;000204;000204;000204
04;2015;05;000205;AdE GL;AGRUPACION DE ELECTORES GANEMOS LANJARON;000205;000205;000205
04;2015;05;000206;AdE GO;AGRUPACION DE ELECTORES GANEMOS ORGIVA;000206;000206;000206
04;2015;05;000207;GANEMOS SAL;AGRUPACION DE ELECTORES GANEMOS SALAMANCA;000207;000207;000207
04;2015;05;000208;A.E.G.T;AGRUPACION DE ELECTORES GANEMOS TORVIZCON;000208;000208;000208
04;2015;05;000209;GDZ;AGRUPACION DE ELECTORES: GENTE DE ZUJAR;000209;000209;000209
04;2015;05;000211;G.I.G.;AGRUPACION DE ELECTORES GRUPO INDEPENDIENTE DE GAL;000211;000211;000211
04;2015;05;000212;GIPR;AGRUPACIÓN DE ELECTORES "GRUPO INDEPENDIENTE POR P;000212;000212;000212
04;2015;05;000213;G.R.;AGRUPACIÓN DE ELECTORES GUANYEM ROCAFORT;000213;000213;000213
04;2015;05;000214;A.E.G.;AGRUPACIÓN DE ELECTORES GUATIZALEMA;000214;000214;000214
04;2015;05;000215;HSI;AGRUPACION DE ELECTORES HIGUERA INDEPENDIENTE;000215;000215;000215
04;2015;05;000216;HC;AGRUPACIÓN DE ELECTORES HUENEJA CAMBIA;000216;000216;000216
04;2015;05;000217;ILLESCAS SI;AGRUPACION DE ELECTORES ILLESCAS SI PUEDE;000217;000217;000217
04;2015;05;000218;A.E.I.C.C.;AGRUPACIÓN DE ELECTORES INDEPENDIENTE COMUNIDAD CI;000218;000218;000218
04;2015;05;000219;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE CREMENES;000219;000219;000219
04;2015;05;000220;IA;AGRUPACION DE ELECTORES INDEPENDIENTE DE ALGADEFE;000220;000220;000220
04;2015;05;000221;A.E.I.C.;AGRUPACION DE ELECTORES INDEPENDIENTE DE CARDIEL;000221;000221;000221
04;2015;05;000222;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE DE CIMANES D;000222;000222;000222
04;2015;05;000223;AIC;AGRUPACION DE ELECTORES INDEPENDIENTE DE CUADROS;000223;000223;000223
04;2015;05;000224;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE DE GALINDO Y;000224;000224;000224
04;2015;05;000225;AEIG;AGRUPACIÓN DE ELECTORES INDEPENDIENTE DE GORAFE;000225;000225;000225
04;2015;05;000226;A.E.I.R.C;AGRUPACION DE ELECTORES INDEPENDIENTE DE ROBLEDO D;000226;000226;000226
04;2015;05;000227;A.I.R.;AGRUPACION DE ELECTORES INDEPENDIENTE DE RUIDERA;000227;000227;000227
04;2015;05;000228;A.E.I.S.;AGRUPACION DE ELECTORES INDEPENDIENTE DE SAÚCA;000228;000228;000228
04;2015;05;000229;ADEI;AGRUPACION DE ELECTORES INDEPENDIENTE DE VALDERRUE;000229;000229;000229
04;2015;05;000231;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE RIO ESLA;000231;000231;000231
04;2015;05;000232;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTES;000232;000232;000232
04;2015;05;000234;IdeA;Agrupación de electores Independientes de Abla;000234;000234;000234
04;2015;05;000235;I.D.A.R.;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALAGON D;000235;000235;000235
04;2015;05;000236;AEIAM;AGRUPACIÓN DE ELECTORES INDEPENDIENTES DE ALGAR DE;000236;000236;000236
04;2015;05;000237;A.E.I.A.;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALMANSA;000237;000237;000237
04;2015;05;000238;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALMONAST;000238;000238;000238
04;2015;05;000239;A.D.EC.I.A.;AGRUPACION DE ELECTORES INDEPENDIENTES DE AUÑON;000239;000239;000239
04;2015;05;000240;IxR;AGRUPACION DE ELECTORES INDEPENDIENTES DE LAS REGU;000240;000240;000240
04;2015;05;000241;AEPILS;AGRUPACION DE ELECTORES INDEPENDIENTES DE LINARES;000241;000241;000241
04;2015;05;000242;A.E.I.O;AGRUPACION DE ELECTORES INDEPENDIENTES DE ONTIGOLA;000242;000242;000242
04;2015;05;000243;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTES DE RIBEROS;000243;000243;000243
04;2015;05;000244;IdR;AGRUPACION DE ELECTORES INDEPENDIENTES DE RODEIRO;000244;000244;000244
04;2015;05;000245;AEIV;AGRUPACION DE ELECTORES INDEPENDIENTES DE VILLASEL;000245;000245;000245
04;2015;05;000246;AEIA;AGRUPACION DE ELECTORES INDEPENDIENTES POR ALFACAR;000246;000246;000246
04;2015;05;000247;A.E.I. POR;AGRUPACION DE ELECTORES INDEPENDIENTES POR LA DIGN;000247;000247;000247
04;2015;05;000248;A.E.I.M.;AGRUPACION DE ELECTORES INDEPENDIENTES POR LA MALA;000248;000248;000248
04;2015;05;000249;AIMA;AGRUPACION DE ELECTORES INDEPENDIENTES POR LOS MAR;000249;000249;000249
04;2015;05;000250;I.P.M.;AGRUPACION DE ELECTORES INDEPENDIENTES POR MOLINA;000250;000250;000250
04;2015;05;000251;IPV;AGRUPACION DE ELECTORES INDEPENDIENTES POR VALDELA;000251;000251;000251
04;2015;05;000252;A.E.I.V.;AGRUPACION DE ELECTORES INDEPENDIENTES POR VILLANU;000252;000252;000252
04;2015;05;000253;ADEIZA;AGRUPACION DE ELECTORES INDEPENDIENTES ZAMORANOS;000253;000253;000253
04;2015;05;000255;IMAGINES;AGRUPACION DE ELECTORES INICIATIVA MUNICIPALISTA Y;000255;000255;000255
04;2015;05;000257;JeC;AGRUPACION DE ELECTORES JAEN EN COMUN;000257;000257;000257
04;2015;05;000258;JOBEN;AGRUPACION DE ELECTORES JOBEN;000258;000258;000258
04;2015;05;000259;AGRUPACION;AGRUPACION DE ELECTORES "JOVENES POR HONTORIA";000259;000259;000259
04;2015;05;000260;AEJP;AGRUPACION DE ELECTORES JUMILLA PUEDE;000260;000260;000260
04;2015;05;000261;J.S.;AGRUPACIÓN DE ELECTORES JUNTOS SUMAMOS;000261;000261;000261
04;2015;05;000262;KAIXO;AGRUPACIÓN DE ELECTORES KAIXO;000262;000262;000262
04;2015;05;000263;LA ENCINA;AGRUPACION DE ELECTORES LA ENCINA DE TALAVERA LA R;000263;000263;000263
04;2015;05;000264;LSSP;AGRUPACION DE ELECTORES LAGUNA SÍ SE PUEDE;000264;000264;000264
04;2015;05;000265;AET;AGRUPACION DE ELECTORES LAS TEJERUELAS;000265;000265;000265
04;2015;05;000266;AGRUPACION;AGRUPACION DE ELECTORES LEON DESPIERTA;000266;000266;000266
