TIPO_ELECCION;ANIO;MES;VUELTA;COD_PROV;COD_MUN;DIST_ELEC;COD_CAND;VOTOS_CAND;CAND_OBTENIDOS
04;2015;05;1;01;001;99;141962;00000531;005
04;2015;05;1;01;001;99;142238;00000251;002
04;2015;05;1;01;001;99;142242;00000367;003
04;2015;05;1;01;001;99;144252;00000060;000
04;2015;05;1;01;001;99;144294;00000114;001
04;2015;05;1;01;002;99;140780;00000738;002
04;2015;05;1;01;002;99;142238;00001488;005
04;2015;05;1;01;002;99;142242;00002149;007
04;2015;05;1;01;002;99;142691;00000274;001
04;2015;05;1;01;002;99;144252;00000282;001
04;2015;05;1;01;002;99;144294;00000364;001
04;2015;05;1;01;003;99;142238;00000530;006
04;2015;05;1;01;003;99;142242;00000228;003
04;2015;05;1;01;003;99;144252;00000000;000
04;2015;05;1;01;003;99;144294;00000013;000
04;2015;05;1;01;004;99;142238;00000395;004
04;2015;05;1;01;004;99;142242;00000384;004
04;2015;05;1;01;004;99;144252;00000118;001
04;2015;05;1;01;004;99;144294;00000041;000
04;2015;05;1;01;008;99;142238;00000182;003
04;2015;05;1;01;008;99;142242;00000198;003
04;2015;05;1;01;008;99;144252;00000065;001
04;2015;05;1;01;008;99;144294;00000035;000
04;2015;05;1;01;009;99;140139;00000233;002
04;2015;05;1;01;009;99;140149;00000106;001
04;2015;05;1;01;009;99;142238;00000249;003
04;2015;05;1;01;009;99;142242;00000286;003
04;2015;05;1;01;009;99;144252;00000017;000
04;2015;05;1;01;009;99;144294;00000019;000
04;2015;05;1;01;010;99;140832;00000245;002
04;2015;05;1;01;010;99;142238;00000571;004
04;2015;05;1;01;010;99;142242;00000648;005
04;2015;05;1;01;010;99;144252;00000085;000
04;2015;05;1;01;010;99;144294;00000046;000
04;2015;05;1;01;011;99;142242;00000061;002
04;2015;05;1;01;011;99;144252;00000100;004
04;2015;05;1;01;011;99;144294;00000031;001
04;2015;05;1;01;013;99;142238;00000244;004
04;2015;05;1;01;013;99;142242;00000163;003
04;2015;05;1;01;013;99;144252;00000040;000
04;2015;05;1;01;014;99;140908;00000162;005
04;2015;05;1;01;014;99;142242;00000089;002
04;2015;05;1;01;014;99;144252;00000030;000
04;2015;05;1;01;016;99;141082;00000042;001
04;2015;05;1;01;016;99;142238;00000043;001
04;2015;05;1;01;016;99;142242;00000112;004
04;2015;05;1;01;016;99;144252;00000037;001
04;2015;05;1;01;017;99;140262;00000297;005
04;2015;05;1;01;017;99;142242;00000255;004
04;2015;05;1;01;017;99;144252;00000057;000
04;2015;05;1;01;017;99;144294;00000011;000
04;2015;05;1;01;018;99;140313;00000278;003
04;2015;05;1;01;018;99;142238;00000320;004
04;2015;05;1;01;018;99;142242;00000175;002
04;2015;05;1;01;018;99;144252;00000064;000
04;2015;05;1;01;018;99;144294;00000027;000
04;2015;05;1;01;020;99;142238;00000062;002
04;2015;05;1;01;020;99;142242;00000146;005
04;2015;05;1;01;020;99;144252;00000025;000
04;2015;05;1;01;021;99;142242;00000186;006
04;2015;05;1;01;021;99;144252;00000059;001
04;2015;05;1;01;021;99;144294;00000016;000
04;2015;05;1;01;022;99;144252;00000105;001
04;2015;05;1;01;022;99;144294;00000127;002
04;2015;05;1;01;022;99;145405;00000427;006
04;2015;05;1;01;023;99;142242;00000128;006
04;2015;05;1;01;023;99;144252;00000017;000
04;2015;05;1;01;023;99;144294;00000028;001
04;2015;05;1;01;027;99;142238;00000094;003
04;2015;05;1;01;027;99;142242;00000116;003
04;2015;05;1;01;027;99;144252;00000033;001
04;2015;05;1;01;028;99;142238;00000138;002
04;2015;05;1;01;028;99;142242;00000310;004
04;2015;05;1;01;028;99;144252;00000268;003
04;2015;05;1;01;028;99;144294;00000052;000
04;2015;05;1;01;031;99;141456;00000078;001
04;2015;05;1;01;031;99;142238;00000210;002
04;2015;05;1;01;031;99;142242;00000225;002
04;2015;05;1;01;031;99;144252;00000375;004
04;2015;05;1;01;031;99;144294;00000038;000
04;2015;05;1;01;032;99;142242;00000189;005
04;2015;05;1;01;032;99;144252;00000063;001
04;2015;05;1;01;032;99;144294;00000045;001
04;2015;05;1;01;033;99;142238;00000056;001
04;2015;05;1;01;033;99;142242;00000211;003
04;2015;05;1;01;033;99;143791;00000220;003
04;2015;05;1;01;033;99;144252;00000047;000
04;2015;05;1;01;033;99;144294;00000024;000
04;2015;05;1;01;036;99;142238;00002902;005
04;2015;05;1;01;036;99;142242;00002443;005
04;2015;05;1;01;036;99;144065;00001989;004
04;2015;05;1;01;036;99;144252;00000579;001
04;2015;05;1;01;036;99;144294;00001102;002
04;2015;05;1;01;037;99;142238;00000169;003
04;2015;05;1;01;037;99;142242;00000231;004
04;2015;05;1;01;037;99;144252;00000038;000
04;2015;05;1;01;037;99;144294;00000008;000
04;2015;05;1;01;042;99;142238;00000157;002
04;2015;05;1;01;042;99;142242;00000280;003
04;2015;05;1;01;042;99;144056;00000284;004
04;2015;05;1;01;042;99;144252;00000001;000
04;2015;05;1;01;043;99;142238;00000257;002
04;2015;05;1;01;043;99;142242;00000557;004
04;2015;05;1;01;043;99;142692;00000076;000
04;2015;05;1;01;043;99;144252;00000578;004
04;2015;05;1;01;043;99;144294;00000144;001
04;2015;05;1;01;044;99;140677;00000103;004
04;2015;05;1;01;044;99;142242;00000069;003
04;2015;05;1;01;044;99;144252;00000009;000
04;2015;05;1;01;046;99;141084;00000056;001
04;2015;05;1;01;046;99;142238;00000088;001
04;2015;05;1;01;046;99;142242;00000232;004
04;2015;05;1;01;046;99;144252;00000056;001
04;2015;05;1;01;046;99;144294;00000013;000
04;2015;05;1;01;047;99;140446;00000172;003
04;2015;05;1;01;047;99;142238;00000030;000
04;2015;05;1;01;047;99;142242;00000238;004
04;2015;05;1;01;047;99;144252;00000073;001
04;2015;05;1;01;047;99;144294;00000108;001
04;2015;05;1;01;051;99;142238;00000984;005
04;2015;05;1;01;051;99;142242;00001334;006
04;2015;05;1;01;051;99;144252;00000050;000
04;2015;05;1;01;051;99;144294;00000074;000
04;2015;05;1;01;052;99;142238;00000068;003
04;2015;05;1;01;052;99;142242;00000081;003
04;2015;05;1;01;052;99;144252;00000002;000
04;2015;05;1;01;052;99;144294;00000039;001
04;2015;05;1;01;053;99;140001;00000060;001
04;2015;05;1;01;053;99;142238;00000161;004
04;2015;05;1;01;053;99;142242;00000106;002
04;2015;05;1;01;053;99;144252;00000031;000
04;2015;05;1;01;054;99;142238;00000318;004
04;2015;05;1;01;054;99;142242;00000299;004
04;2015;05;1;01;054;99;144252;00000016;000
04;2015;05;1;01;054;99;144294;00000006;000
04;2015;05;1;01;054;99;145239;00000067;001
04;2015;05;1;01;055;99;140744;00000110;002
04;2015;05;1;01;055;99;142238;00000079;001
04;2015;05;1;01;055;99;142242;00000261;005
04;2015;05;1;01;055;99;144252;00000096;001
04;2015;05;1;01;055;99;144294;00000025;000
04;2015;05;1;01;056;99;142238;00000038;002
04;2015;05;1;01;056;99;142242;00000105;005
04;2015;05;1;01;056;99;144252;00000010;000
04;2015;05;1;01;057;99;142238;00000098;003
04;2015;05;1;01;057;99;142242;00000122;004
04;2015;05;1;01;057;99;144252;00000003;000
04;2015;05;1;01;058;99;142238;00000318;005
04;2015;05;1;01;058;99;142242;00000308;004
04;2015;05;1;01;058;99;144252;00000029;000
04;2015;05;1;01;058;99;144294;00000063;000
04;2015;05;1;01;059;99;141456;00003835;000
04;2015;05;1;01;059;99;142065;00000842;000
04;2015;05;1;01;059;99;142238;00023422;006
04;2015;05;1;01;059;99;142242;00019945;005
04;2015;05;1;01;059;99;143150;00006130;001
04;2015;05;1;01;059;99;144068;00000295;000
04;2015;05;1;01;059;99;144252;00035722;009
04;2015;05;1;01;059;99;144294;00014313;004
04;2015;05;1;01;059;99;144496;00001006;000
04;2015;05;1;01;059;99;144626;00001124;000
04;2015;05;1;01;059;99;144931;00010390;002
04;2015;05;1;01;059;99;145163;00001000;000
04;2015;05;1;01;059;99;145373;00000346;000
04;2015;05;1;01;060;99;140668;00000083;004
04;2015;05;1;01;060;99;144252;00000002;000
04;2015;05;1;01;060;99;144294;00000081;003
04;2015;05;1;01;062;99;140596;00000144;004
04;2015;05;1;01;062;99;142242;00000034;001
04;2015;05;1;01;062;99;144252;00000062;002
04;2015;05;1;01;062;99;144294;00000003;000
04;2015;05;1;01;063;99;142238;00000429;004
04;2015;05;1;01;063;99;142242;00000367;003
04;2015;05;1;01;063;99;144252;00000095;001
04;2015;05;1;01;063;99;144294;00000059;000
04;2015;05;1;01;063;99;145412;00000302;003
04;2015;05;1;01;901;99;141132;00000086;000
04;2015;05;1;01;901;99;142238;00000221;002
04;2015;05;1;01;901;99;142242;00000248;002
04;2015;05;1;01;901;99;143154;00000108;001
04;2015;05;1;01;901;99;144003;00000083;000
04;2015;05;1;01;901;99;144252;00000235;002
04;2015;05;1;01;901;99;144294;00000510;004
04;2015;05;1;01;902;99;142238;00000086;001
04;2015;05;1;01;902;99;142242;00000238;005
04;2015;05;1;01;902;99;144252;00000083;001
04;2015;05;1;01;902;99;144294;00000033;000
04;2015;05;1;02;001;99;074252;00000255;003
04;2015;05;1;02;001;99;074318;00000316;004
