TIPO_ELECCION;ANIO;MES;VUELTA;COD_PROV;COD_MUN;DIST_ELEC;COD_CAND;VOTOS_CAND;CAND_OBTENIDOS
4;2015;5;1;1;1;99;141962;531;5
4;2015;5;1;1;1;99;142238;251;2
4;2015;5;1;1;1;99;142242;367;3
4;2015;5;1;1;1;99;144252;60;0
4;2015;5;1;1;1;99;144294;114;1
4;2015;5;1;1;2;99;140780;738;2
4;2015;5;1;1;2;99;142238;1488;5
4;2015;5;1;1;2;99;142242;2149;7
4;2015;5;1;1;2;99;142691;274;1
4;2015;5;1;1;2;99;144252;282;1
4;2015;5;1;1;2;99;144294;364;1
4;2015;5;1;1;3;99;142238;530;6
4;2015;5;1;1;3;99;142242;228;3
4;2015;5;1;1;3;99;144252;0;0
4;2015;5;1;1;3;99;144294;13;0
4;2015;5;1;1;4;99;142238;395;4
4;2015;5;1;1;4;99;142242;384;4
4;2015;5;1;1;4;99;144252;118;1
4;2015;5;1;1;4;99;144294;41;0
4;2015;5;1;1;8;99;142238;182;3
4;2015;5;1;1;8;99;142242;198;3
4;2015;5;1;1;8;99;144252;65;1
4;2015;5;1;1;8;99;144294;35;0
4;2015;5;1;1;9;99;140139;233;2
4;2015;5;1;1;9;99;140149;106;1
4;2015;5;1;1;9;99;142238;249;3
4;2015;5;1;1;9;99;142242;286;3
4;2015;5;1;1;9;99;144252;17;0
4;2015;5;1;1;9;99;144294;19;0
4;2015;5;1;1;10;99;140832;245;2
4;2015;5;1;1;10;99;142238;571;4
4;2015;5;1;1;10;99;142242;648;5
4;2015;5;1;1;10;99;144252;85;0
4;2015;5;1;1;10;99;144294;46;0
4;2015;5;1;1;11;99;142242;61;2
4;2015;5;1;1;11;99;144252;100;4
4;2015;5;1;1;11;99;144294;31;1
4;2015;5;1;1;13;99;142238;244;4
4;2015;5;1;1;13;99;142242;163;3
4;2015;5;1;1;13;99;144252;40;0
4;2015;5;1;1;14;99;140908;162;5
4;2015;5;1;1;14;99;142242;89;2
4;2015;5;1;1;14;99;144252;30;0
4;2015;5;1;1;16;99;141082;42;1
4;2015;5;1;1;16;99;142238;43;1
4;2015;5;1;1;16;99;142242;112;4
4;2015;5;1;1;16;99;144252;37;1
4;2015;5;1;1;17;99;140262;297;5
4;2015;5;1;1;17;99;142242;255;4
4;2015;5;1;1;17;99;144252;57;0
4;2015;5;1;1;17;99;144294;11;0
4;2015;5;1;1;18;99;140313;278;3
4;2015;5;1;1;18;99;142238;320;4
4;2015;5;1;1;18;99;142242;175;2
4;2015;5;1;1;18;99;144252;64;0
4;2015;5;1;1;18;99;144294;27;0
4;2015;5;1;1;20;99;142238;62;2
4;2015;5;1;1;20;99;142242;146;5
4;2015;5;1;1;20;99;144252;25;0
4;2015;5;1;1;21;99;142242;186;6
4;2015;5;1;1;21;99;144252;59;1
4;2015;5;1;1;21;99;144294;16;0
4;2015;5;1;1;22;99;144252;105;1
4;2015;5;1;1;22;99;144294;127;2
4;2015;5;1;1;22;99;145405;427;6
4;2015;5;1;1;23;99;142242;128;6
4;2015;5;1;1;23;99;144252;17;0
4;2015;5;1;1;23;99;144294;28;1
4;2015;5;1;1;27;99;142238;94;3
4;2015;5;1;1;27;99;142242;116;3
4;2015;5;1;1;27;99;144252;33;1
4;2015;5;1;1;28;99;142238;138;2
4;2015;5;1;1;28;99;142242;310;4
4;2015;5;1;1;28;99;144252;268;3
4;2015;5;1;1;28;99;144294;52;0
4;2015;5;1;1;31;99;141456;78;1
4;2015;5;1;1;31;99;142238;210;2
4;2015;5;1;1;31;99;142242;225;2
4;2015;5;1;1;31;99;144252;375;4
4;2015;5;1;1;31;99;144294;38;0
4;2015;5;1;1;32;99;142242;189;5
4;2015;5;1;1;32;99;144252;63;1
4;2015;5;1;1;32;99;144294;45;1
4;2015;5;1;1;33;99;142238;56;1
4;2015;5;1;1;33;99;142242;211;3
4;2015;5;1;1;33;99;143791;220;3
4;2015;5;1;1;33;99;144252;47;0
4;2015;5;1;1;33;99;144294;24;0
4;2015;5;1;1;36;99;142238;2902;5
4;2015;5;1;1;36;99;142242;2443;5
4;2015;5;1;1;36;99;144065;1989;4
4;2015;5;1;1;36;99;144252;579;1
4;2015;5;1;1;36;99;144294;1102;2
4;2015;5;1;1;37;99;142238;169;3
4;2015;5;1;1;37;99;142242;231;4
4;2015;5;1;1;37;99;144252;38;0
4;2015;5;1;1;37;99;144294;8;0
4;2015;5;1;1;42;99;142238;157;2
4;2015;5;1;1;42;99;142242;280;3
4;2015;5;1;1;42;99;144056;284;4
4;2015;5;1;1;42;99;144252;1;0
4;2015;5;1;1;43;99;142238;257;2
4;2015;5;1;1;43;99;142242;557;4
4;2015;5;1;1;43;99;142692;76;0
4;2015;5;1;1;43;99;144252;578;4
4;2015;5;1;1;43;99;144294;144;1
4;2015;5;1;1;44;99;140677;103;4
4;2015;5;1;1;44;99;142242;69;3
4;2015;5;1;1;44;99;144252;9;0
4;2015;5;1;1;46;99;141084;56;1
4;2015;5;1;1;46;99;142238;88;1
4;2015;5;1;1;46;99;142242;232;4
4;2015;5;1;1;46;99;144252;56;1
4;2015;5;1;1;46;99;144294;13;0
4;2015;5;1;1;47;99;140446;172;3
4;2015;5;1;1;47;99;142238;30;0
4;2015;5;1;1;47;99;142242;238;4
4;2015;5;1;1;47;99;144252;73;1
4;2015;5;1;1;47;99;144294;108;1
