TIPO_ELECCION;AÑO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;SECCION;MESA;CENSO;CENSO_ESCR_CERA;CENSO_CERE_ESCR;VOTOS_CERE;VOTOS_1AVANCE;VOTOS_2AVANCE;VOTOS_BLANCO;VOTOS_NULOS;VOTOS_CAND;REFR_SI;REFR_NO;DATOS_OFICIALES
4;2015;5;1;14;48;27;5;2;A;707;707;10;0;224;320;8;7;412;0;0;S
4;2015;5;1;15;30;24;1;43;U;594;594;4;0;262;338;7;11;409;0;0;S
4;2015;5;1;15;30;24;1;44;U;808;808;16;0;276;380;11;3;479;0;0;S
4;2015;5;1;15;30;24;2;1;U;810;810;2;0;278;369;3;9;484;0;0;S
4;2015;5;1;15;30;24;2;2;A;411;411;5;0;111;150;3;5;209;0;0;S
4;2015;5;1;15;30;24;2;2;B;500;500;2;0;135;206;7;4;292;0;0;S
4;2015;5;1;15;30;24;2;3;A;620;620;1;0;183;368;10;10;332;0;0;S
4;2015;5;1;15;30;24;2;3;B;666;666;14;0;240;319;9;4;393;0;0;S
4;2015;5;1;15;30;24;2;4;A;814;814;3;0;235;345;4;2;478;0;0;S
4;2015;5;1;15;30;24;2;4;B;492;492;1;0;174;247;0;4;312;0;0;S
4;2015;5;1;15;30;24;2;5;A;517;517;6;0;202;270;2;5;328;0;0;S
4;2015;5;1;15;30;24;2;5;B;659;659;5;0;246;344;8;2;427;0;0;S
4;2015;5;1;15;30;24;2;6;A;523;523;4;0;162;226;7;8;321;0;0;S
4;2015;5;1;15;30;24;2;6;B;587;587;0;0;168;245;6;4;331;0;0;S
4;2015;5;1;15;30;24;2;7;U;659;659;21;0;196;269;0;5;353;0;0;S
4;2015;5;1;15;30;24;2;8;U;591;591;23;0;160;268;6;5;337;0;0;S
4;2015;5;1;15;30;24;2;9;A;304;304;9;0;84;142;1;7;186;0;0;S
4;2015;5;1;15;30;24;2;9;B;662;662;8;0;143;256;11;12;328;0;0;S
4;2015;5;1;15;30;24;2;10;A;650;650;16;0;188;264;5;11;313;0;0;S
4;2015;5;1;15;30;24;2;10;B;569;569;8;0;190;260;4;5;315;0;0;S
