CUSEC;PROV;DIST;SECC_CEN;C's;CCD;ESPAÑA2000;IUCM-LV;LVCM;P.P.;P.S.O.E.;PCAS-TC-PAC;PH;PLAN;SOMOS ALCAL;UPyD;VOX;%C's;%CCD;%ESPAÑA2000;%IUCM-LV;%LVCM;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%PH;%PLAN;%SOMOS ALCAL;%UPyD;%VOX
2800505024;28;5;24;64;3;47;42;11;145;194;1;2;0;106;16;7;10.031;0.47;7.367;6.583;1.724;22.727;30.408;0.157;0.313;0.0;16.614;2.508;1.097
2800505025;28;5;25;69;1;39;18;5;195;118;0;1;0;100;14;1;12.299;0.178;6.952;3.209;0.891;34.759;21.034;0.0;0.178;0.0;17.825;2.496;0.178
2800505026;28;5;26;71;8;39;28;10;160;162;1;5;4;122;17;5;11.234;1.266;6.171;4.43;1.582;25.316;25.633;0.158;0.791;0.633;19.304;2.69;0.791
2800505027;28;5;27;38;1;22;20;0;71;122;0;0;2;51;5;1;11.411;0.3;6.607;6.006;0.0;21.321;36.637;0.0;0.0;0.601;15.315;1.502;0.3
2800505028;28;5;28;128;7;30;21;11;260;70;1;0;0;101;20;13;19.335;1.057;4.532;3.172;1.662;39.275;10.574;0.151;0.0;0.0;15.257;3.021;1.964
2800505029;28;5;29;133;11;44;54;11;250;265;1;0;1;209;21;6;13.221;1.093;4.374;5.368;1.093;24.851;26.342;0.099;0.0;0.099;20.775;2.087;0.596
2800502012;28;2;12;33;1;24;15;8;93;124;0;4;1;72;8;1;8.594;0.26;6.25;3.906;2.083;24.219;32.292;0.0;1.042;0.26;18.75;2.083;0.26
2800502013;28;2;13;22;0;34;20;1;52;125;1;1;5;66;3;0;6.667;0.0;10.303;6.061;0.303;15.758;37.879;0.303;0.303;1.515;20.0;0.909;0.0
2800502014;28;2;14;39;2;20;18;4;97;106;1;0;1;91;5;1;10.13;0.519;5.195;4.675;1.039;25.195;27.532;0.26;0.0;0.26;23.636;1.299;0.26
2800502015;28;2;15;30;2;22;14;1;63;144;2;1;0;48;3;2;9.036;0.602;6.627;4.217;0.301;18.976;43.373;0.602;0.301;0.0;14.458;0.904;0.602
2800501012;28;1;12;124;2;67;21;6;313;175;0;2;1;180;30;12;13.29;0.214;7.181;2.251;0.643;33.548;18.757;0.0;0.214;0.107;19.293;3.215;1.286
2800501013;28;1;13;43;1;20;18;3;187;90;0;0;0;107;10;6;8.866;0.206;4.124;3.711;0.619;38.557;18.557;0.0;0.0;0.0;22.062;2.062;1.237
2800501014;28;1;14;64;3;28;22;6;270;107;0;0;0;121;19;5;9.922;0.465;4.341;3.411;0.93;41.86;16.589;0.0;0.0;0.0;18.76;2.946;0.775
