CUSEC;PROV;DIST;SECC_CEN;C's;GANEMOS;IUCM-LV;P.P.;P.S.O.E.;PH;SI SE PUEDE;UPyD;VOX;%C's;%GANEMOS;%IUCM-LV;%P.P.;%P.S.O.E.;%PH;%SI SE PUEDE;%UPyD;%VOX
2800601018;28;1;18;60;21;44;186;248;6;90;22;9;8.746;3.061;6.414;27.114;36.152;0.875;13.12;3.207;1.312
2800601019;28;1;19;25;6;23;86;97;2;41;7;2;8.651;2.076;7.958;29.758;33.564;0.692;14.187;2.422;0.692
2800601020;28;1;20;34;26;17;99;125;1;68;24;3;8.564;6.549;4.282;24.937;31.486;0.252;17.128;6.045;0.756
2800601021;28;1;21;68;25;42;228;233;3;119;49;9;8.763;3.222;5.412;29.381;30.026;0.387;15.335;6.314;1.16
2800601022;28;1;22;47;15;37;209;235;2;89;38;11;6.881;2.196;5.417;30.6;34.407;0.293;13.031;5.564;1.611
2800601023;28;1;23;78;42;55;348;316;2;132;80;15;7.303;3.933;5.15;32.584;29.588;0.187;12.36;7.491;1.404
2800601024;28;1;24;68;19;32;224;148;0;58;37;3;11.545;3.226;5.433;38.031;25.127;0.0;9.847;6.282;0.509
2800601025;28;1;25;82;39;42;273;263;5;133;56;13;9.051;4.305;4.636;30.132;29.029;0.552;14.68;6.181;1.435
2800601031;28;1;31;82;40;78;303;221;5;110;65;12;8.952;4.367;8.515;33.079;24.127;0.546;12.009;7.096;1.31
2800601032;28;1;32;102;54;75;313;295;8;117;63;9;9.846;5.212;7.239;30.212;28.475;0.772;11.293;6.081;0.869
2800601033;28;1;33;116;10;15;808;64;0;13;12;26;10.902;0.94;1.41;75.94;6.015;0.0;1.222;1.128;2.444
2800601001;28;1;1;71;16;27;223;177;3;88;26;7;11.129;2.508;4.232;34.953;27.743;0.47;13.793;4.075;1.097
2800601002;28;1;2;63;29;37;222;262;3;116;40;2;8.14;3.747;4.78;28.682;33.85;0.388;14.987;5.168;0.258
2800601003;28;1;3;57;19;38;186;174;6;73;22;7;9.794;3.265;6.529;31.959;29.897;1.031;12.543;3.78;1.203
2800601034;28;1;34;103;3;1;503;11;0;6;6;9;16.044;0.467;0.156;78.349;1.713;0.0;0.935;0.935;1.402
