CUSEC;PROV;DIST;SECC_CEN;C's;G. Alcorcón;IUCM - LV;LV-GV;P.P.;P.S.O.E.;PCAS-TC-PAC;UPyD;%C's;%G. Alcorcón;%IUCM - LV;%LV-GV;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%UPyD
2800704027;28;4;27;233;210;100;33;359;297;5;93;17.519;15.789;7.519;2.481;26.992;22.331;0.376;6.992
2800703017;28;3;17;75;121;39;19;225;189;0;33;10.699;17.261;5.563;2.71;32.097;26.961;0.0;4.708
2800703018;28;3;18;70;181;26;18;276;190;1;29;8.85;22.882;3.287;2.276;34.893;24.02;0.126;3.666
2800703019;28;3;19;84;152;71;29;256;229;2;35;9.79;17.716;8.275;3.38;29.837;26.69;0.233;4.079
2800704028;28;4;28;296;220;94;36;398;268;4;84;21.143;15.714;6.714;2.571;28.429;19.143;0.286;6.0
2800704029;28;4;29;77;85;39;14;200;122;0;39;13.368;14.757;6.771;2.431;34.722;21.181;0.0;6.771
2800704030;28;4;30;168;357;56;35;171;247;0;59;15.371;32.662;5.124;3.202;15.645;22.598;0.0;5.398
2800704031;28;4;31;140;256;59;16;135;187;2;40;16.766;30.659;7.066;1.916;16.168;22.395;0.24;4.79
2800704032;28;4;32;150;325;58;32;138;189;2;64;15.658;33.925;6.054;3.34;14.405;19.729;0.209;6.681
2800704033;28;4;33;167;343;74;19;149;212;0;62;16.277;33.431;7.212;1.852;14.522;20.663;0.0;6.043
2800704034;28;4;34;195;365;56;47;161;238;2;56;17.411;32.589;5.0;4.196;14.375;21.25;0.179;5.0
2800703020;28;3;20;55;105;34;26;266;154;0;29;8.221;15.695;5.082;3.886;39.761;23.019;0.0;4.335
2800703021;28;3;21;83;143;38;14;269;165;1;13;11.433;19.697;5.234;1.928;37.052;22.727;0.138;1.791
2800703022;28;3;22;54;80;48;12;146;132;2;29;10.736;15.905;9.543;2.386;29.026;26.243;0.398;5.765
2800703023;28;3;23;47;84;31;7;144;146;1;25;9.691;17.32;6.392;1.443;29.691;30.103;0.206;5.155
2800703024;28;3;24;88;137;37;12;227;149;3;15;13.174;20.509;5.539;1.796;33.982;22.305;0.449;2.246
2800703025;28;3;25;60;98;44;11;206;145;2;17;10.292;16.81;7.547;1.887;35.334;24.871;0.343;2.916
2800703026;28;3;26;45;103;38;9;96;129;1;11;10.417;23.843;8.796;2.083;22.222;29.861;0.231;2.546
2800703027;28;3;27;47;83;39;6;152;128;0;23;9.833;17.364;8.159;1.255;31.799;26.778;0.0;4.812
2800703028;28;3;28;39;47;17;6;106;95;2;11;12.074;14.551;5.263;1.858;32.817;29.412;0.619;3.406
2800703029;28;3;29;38;88;39;21;96;150;3;20;8.352;19.341;8.571;4.615;21.099;32.967;0.659;4.396
2800704001;28;4;1;33;65;31;7;98;110;2;14;9.167;18.056;8.611;1.944;27.222;30.556;0.556;3.889
2800704002;28;4;2;30;63;29;11;117;145;1;18;7.246;15.217;7.005;2.657;28.261;35.024;0.242;4.348
2800704003;28;4;3;41;51;42;16;127;179;1;14;8.705;10.828;8.917;3.397;26.964;38.004;0.212;2.972
2800704035;28;4;35;138;228;49;23;118;209;4;49;16.87;27.873;5.99;2.812;14.425;25.55;0.489;5.99
2800704004;28;4;4;46;84;42;12;127;176;2;14;9.145;16.7;8.35;2.386;25.249;34.99;0.398;2.783
2800704005;28;4;5;31;84;29;4;129;167;3;15;6.71;18.182;6.277;0.866;27.922;36.147;0.649;3.247
2800704006;28;4;6;60;97;21;12;132;140;0;10;12.712;20.551;4.449;2.542;27.966;29.661;0.0;2.119
2800704007;28;4;7;124;186;70;38;304;323;4;32;11.471;17.206;6.475;3.515;28.122;29.88;0.37;2.96
2800704008;28;4;8;91;173;75;28;272;296;2;33;9.381;17.835;7.732;2.887;28.041;30.515;0.206;3.402
2800704009;28;4;9;57;125;33;23;160;238;1;14;8.756;19.201;5.069;3.533;24.578;36.559;0.154;2.151
2800704010;28;4;10;28;81;27;6;60;125;2;13;8.187;23.684;7.895;1.754;17.544;36.55;0.585;3.801
2800704011;28;4;11;44;91;31;24;139;188;0;16;8.255;17.073;5.816;4.503;26.079;35.272;0.0;3.002
2800704012;28;4;12;51;66;28;4;171;154;0;19;10.345;13.387;5.68;0.811;34.686;31.237;0.0;3.854
2800704013;28;4;13;47;96;54;19;146;210;2;19;7.926;16.189;9.106;3.204;24.621;35.413;0.337;3.204
2800704014;28;4;14;54;72;25;20;126;161;0;15;11.416;15.222;5.285;4.228;26.638;34.038;0.0;3.171
2800704015;28;4;15;90;166;68;33;253;279;2;39;9.677;17.849;7.312;3.548;27.204;30.0;0.215;4.194
2800704016;28;4;16;68;85;48;11;250;240;0;22;9.392;11.74;6.63;1.519;34.53;33.149;0.0;3.039
2800704017;28;4;17;58;102;23;14;140;179;1;20;10.801;18.994;4.283;2.607;26.071;33.333;0.186;3.724
2800704018;28;4;18;101;156;51;23;260;221;0;37;11.896;18.375;6.007;2.709;30.624;26.031;0.0;4.358
2800704019;28;4;19;54;80;31;6;194;206;3;19;9.106;13.491;5.228;1.012;32.715;34.739;0.506;3.204
2800704020;28;4;20;81;182;68;23;301;277;4;27;8.411;18.899;7.061;2.388;31.256;28.764;0.415;2.804
2800704021;28;4;21;45;108;28;23;136;162;3;21;8.555;20.532;5.323;4.373;25.856;30.798;0.57;3.992
2800704022;28;4;22;68;96;83;14;188;155;1;25;10.794;15.238;13.175;2.222;29.841;24.603;0.159;3.968
2800704023;28;4;23;175;188;76;26;320;266;3;44;15.938;17.122;6.922;2.368;29.144;24.226;0.273;4.007
2800704024;28;4;24;138;164;71;39;268;204;2;44;14.839;17.634;7.634;4.194;28.817;21.935;0.215;4.731
2800704025;28;4;25;194;240;86;53;306;295;2;47;15.863;19.624;7.032;4.334;25.02;24.121;0.164;3.843
2800704026;28;4;26;187;171;51;38;339;268;2;80;16.461;15.053;4.489;3.345;29.842;23.592;0.176;7.042
2800701002;28;1;2;85;130;38;37;210;231;2;24;11.229;17.173;5.02;4.888;27.741;30.515;0.264;3.17
2800701003;28;1;3;73;95;35;23;227;187;0;14;11.162;14.526;5.352;3.517;34.709;28.593;0.0;2.141
2800701004;28;1;4;48;98;34;14;147;161;2;18;9.195;18.774;6.513;2.682;28.161;30.843;0.383;3.448
2800701005;28;1;5;74;107;32;21;292;190;0;30;9.92;14.343;4.29;2.815;39.142;25.469;0.0;4.021
2800701006;28;1;6;28;49;31;15;107;151;2;18;6.983;12.219;7.731;3.741;26.683;37.656;0.499;4.489
2800701007;28;1;7;62;75;28;13;218;164;1;28;10.526;12.733;4.754;2.207;37.012;27.844;0.17;4.754
2800701008;28;1;8;86;119;39;21;298;315;2;37;9.378;12.977;4.253;2.29;32.497;34.351;0.218;4.035
2800701010;28;1;10;48;90;29;20;190;187;2;17;8.233;15.437;4.974;3.431;32.59;32.075;0.343;2.916
2800701011;28;1;11;55;88;28;12;175;215;1;15;9.338;14.941;4.754;2.037;29.711;36.503;0.17;2.547
2800701012;28;1;12;57;118;18;17;121;160;3;28;10.92;22.605;3.448;3.257;23.18;30.651;0.575;5.364
2800702020;28;2;20;112;142;53;25;259;177;1;33;13.965;17.706;6.608;3.117;32.294;22.07;0.125;4.115
2800702021;28;2;21;145;164;64;22;426;208;2;40;13.539;15.313;5.976;2.054;39.776;19.421;0.187;3.735
2800702022;28;2;22;93;163;67;41;260;272;3;24;10.076;17.66;7.259;4.442;28.169;29.469;0.325;2.6
2800702023;28;2;23;41;65;18;15;251;59;0;6;9.011;14.286;3.956;3.297;55.165;12.967;0.0;1.319
2800702024;28;2;24;51;65;9;15;256;80;0;19;10.303;13.131;1.818;3.03;51.717;16.162;0.0;3.838
2800702025;28;2;25;60;66;18;10;285;89;2;8;11.152;12.268;3.346;1.859;52.974;16.543;0.372;1.487
2800702026;28;2;26;41;54;16;10;154;68;1;11;11.549;15.211;4.507;2.817;43.38;19.155;0.282;3.099
2800702027;28;2;27;84;109;33;11;217;120;1;29;13.907;18.046;5.464;1.821;35.927;19.868;0.166;4.801
2800702028;28;2;28;86;108;55;32;205;217;1;33;11.669;14.654;7.463;4.342;27.815;29.444;0.136;4.478
2800701013;28;1;13;48;68;36;18;100;174;3;19;10.3;14.592;7.725;3.863;21.459;37.339;0.644;4.077
2800701014;28;1;14;50;86;20;13;135;103;1;20;11.682;20.093;4.673;3.037;31.542;24.065;0.234;4.673
2800701015;28;1;15;88;43;24;12;219;72;4;22;18.182;8.884;4.959;2.479;45.248;14.876;0.826;4.545
2800701016;28;1;16;277;234;74;44;380;208;2;62;21.624;18.267;5.777;3.435;29.664;16.237;0.156;4.84
2800702029;28;2;29;53;136;44;35;233;215;3;22;7.152;18.354;5.938;4.723;31.444;29.015;0.405;2.969
2800702030;28;2;30;129;111;33;23;199;99;2;29;20.64;17.76;5.28;3.68;31.84;15.84;0.32;4.64
2800702031;28;2;31;129;202;51;31;226;211;1;26;14.709;23.033;5.815;3.535;25.77;24.059;0.114;2.965
2800702032;28;2;32;243;177;63;43;402;190;2;56;20.663;15.051;5.357;3.656;34.184;16.156;0.17;4.762
2800701017;28;1;17;210;160;86;33;300;160;2;60;20.772;15.826;8.506;3.264;29.674;15.826;0.198;5.935
2800701018;28;1;18;133;95;29;17;146;102;1;30;24.051;17.179;5.244;3.074;26.401;18.445;0.181;5.425
2800701019;28;1;19;160;141;66;32;212;150;0;46;19.827;17.472;8.178;3.965;26.27;18.587;0.0;5.7
2800701020;28;1;20;293;144;71;23;435;157;2;64;24.643;12.111;5.971;1.934;36.585;13.204;0.168;5.383
2800702033;28;2;33;114;213;63;49;170;223;2;47;12.94;24.177;7.151;5.562;19.296;25.312;0.227;5.335
2800702034;28;2;34;235;217;86;64;439;206;1;71;17.817;16.452;6.52;4.852;33.283;15.618;0.076;5.383
2800702035;28;2;35;160;156;31;26;195;129;1;36;21.798;21.253;4.223;3.542;26.567;17.575;0.136;4.905
2800702001;28;2;1;62;59;28;12;264;111;0;21;11.131;10.592;5.027;2.154;47.397;19.928;0.0;3.77
2800702002;28;2;2;45;46;20;6;201;76;1;15;10.976;11.22;4.878;1.463;49.024;18.537;0.244;3.659
2800702003;28;2;3;90;103;33;17;387;135;0;16;11.524;13.188;4.225;2.177;49.552;17.286;0.0;2.049
2800702004;28;2;4;63;70;18;13;315;138;0;24;9.828;10.92;2.808;2.028;49.142;21.529;0.0;3.744
2800702005;28;2;5;74;88;30;15;346;130;0;20;10.526;12.518;4.267;2.134;49.218;18.492;0.0;2.845
2800702006;28;2;6;80;105;25;15;467;153;0;27;9.174;12.041;2.867;1.72;53.555;17.546;0.0;3.096
2800702007;28;2;7;52;49;27;16;205;53;0;8;12.683;11.951;6.585;3.902;50.0;12.927;0.0;1.951
2800702008;28;2;8;53;48;15;12;215;82;1;8;12.212;11.06;3.456;2.765;49.539;18.894;0.23;1.843
2800702036;28;2;36;99;64;15;18;153;92;1;20;21.429;13.853;3.247;3.896;33.117;19.913;0.216;4.329
2800702037;28;2;37;114;119;33;40;243;107;3;33;16.474;17.197;4.769;5.78;35.116;15.462;0.434;4.769
2800702038;28;2;38;174;164;65;39;359;120;0;50;17.92;16.89;6.694;4.016;36.972;12.358;0.0;5.149
2800703001;28;3;1;93;132;57;22;329;283;3;27;9.831;13.953;6.025;2.326;34.778;29.915;0.317;2.854
2800703002;28;3;2;56;64;24;11;172;175;3;15;10.769;12.308;4.615;2.115;33.077;33.654;0.577;2.885
2800703003;28;3;3;28;62;31;18;151;113;1;14;6.699;14.833;7.416;4.306;36.124;27.033;0.239;3.349
2800703004;28;3;4;57;107;23;14;145;222;0;13;9.811;18.417;3.959;2.41;24.957;38.21;0.0;2.238
2800703005;28;3;5;94;109;44;23;223;233;3;21;12.533;14.533;5.867;3.067;29.733;31.067;0.4;2.8
2800702009;28;2;9;101;104;31;13;331;123;3;20;13.912;14.325;4.27;1.791;45.592;16.942;0.413;2.755
2800702010;28;2;10;65;85;18;29;232;79;2;24;12.172;15.918;3.371;5.431;43.446;14.794;0.375;4.494
2800702011;28;2;11;62;104;41;13;273;186;1;25;8.794;14.752;5.816;1.844;38.723;26.383;0.142;3.546
2800701001;28;1;1;85;100;34;17;241;179;1;26;12.445;14.641;4.978;2.489;35.286;26.208;0.146;3.807
2800702012;28;2;12;48;88;22;21;171;146;1;16;9.357;17.154;4.288;4.094;33.333;28.46;0.195;3.119
2800702013;28;2;13;76;129;44;27;217;173;3;17;11.079;18.805;6.414;3.936;31.633;25.219;0.437;2.478
2800702014;28;2;14;76;141;41;18;294;172;3;25;9.87;18.312;5.325;2.338;38.182;22.338;0.39;3.247
2800702015;28;2;15;143;127;64;47;327;226;4;36;14.682;13.039;6.571;4.825;33.573;23.203;0.411;3.696
2800702016;28;2;16;169;217;69;72;375;257;3;42;14.037;18.023;5.731;5.98;31.146;21.346;0.249;3.488
