CUSEC;PROV;DIST;SECC_CEN;ACIPA;ARAH;C's;IUCM - LV;In-Par;P.P.;P.S.O.E.;UPyD;%ACIPA;%ARAH;%C's;%IUCM - LV;%In-Par;%P.P.;%P.S.O.E.;%UPyD
2801301001;28;1;1;52;90;46;8;30;256;129;0;8.511;14.73;7.529;1.309;4.91;41.899;21.113;0.0
2801301002;28;1;2;114;108;81;35;73;371;282;14;10.575;10.019;7.514;3.247;6.772;34.416;26.16;1.299
2801301003;28;1;3;69;77;68;31;64;307;218;5;8.224;9.178;8.105;3.695;7.628;36.591;25.983;0.596
2801301004;28;1;4;24;52;17;11;52;134;139;2;5.568;12.065;3.944;2.552;12.065;31.09;32.251;0.464
2801301005;28;1;5;27;83;26;29;53;118;155;3;5.466;16.802;5.263;5.87;10.729;23.887;31.377;0.607
2801301006;28;1;6;34;39;20;17;20;100;123;4;9.524;10.924;5.602;4.762;5.602;28.011;34.454;1.12
2801301007;28;1;7;57;84;52;27;63;173;134;1;9.645;14.213;8.799;4.569;10.66;29.272;22.673;0.169
2801301008;28;1;8;160;189;91;44;83;228;214;7;15.748;18.602;8.957;4.331;8.169;22.441;21.063;0.689
2801301009;28;1;9;96;63;80;16;72;303;141;5;12.371;8.119;10.309;2.062;9.278;39.046;18.17;0.644
2801304004;28;4;4;230;109;161;24;57;356;156;8;20.89;9.9;14.623;2.18;5.177;32.334;14.169;0.727
2801304005;28;4;5;156;192;152;37;44;361;158;20;13.929;17.143;13.571;3.304;3.929;32.232;14.107;1.786
2801302001;28;2;1;65;50;45;17;31;204;90;12;12.646;9.728;8.755;3.307;6.031;39.689;17.51;2.335
2801302002;28;2;2;112;119;87;49;79;319;243;11;10.991;11.678;8.538;4.809;7.753;31.305;23.847;1.079
2801302003;28;2;3;48;123;72;61;63;300;303;5;4.923;12.615;7.385;6.256;6.462;30.769;31.077;0.513
2801302004;28;2;4;44;90;49;20;76;178;197;8;6.647;13.595;7.402;3.021;11.48;26.888;29.758;1.208
2801302005;28;2;5;49;103;77;35;112;266;265;6;5.367;11.281;8.434;3.834;12.267;29.135;29.025;0.657
2801302006;28;2;6;58;114;61;23;96;197;275;8;6.971;13.702;7.332;2.764;11.538;23.678;33.053;0.962
2801302007;28;2;7;113;179;100;43;115;365;309;19;9.091;14.401;8.045;3.459;9.252;29.364;24.859;1.529
2801302008;28;2;8;68;105;75;42;107;229;289;9;7.359;11.364;8.117;4.545;11.58;24.784;31.277;0.974
2801303001;28;3;1;47;52;43;24;35;163;84;8;10.307;11.404;9.43;5.263;7.675;35.746;18.421;1.754
2801303002;28;3;2;93;150;80;37;71;366;214;10;9.109;14.691;7.835;3.624;6.954;35.847;20.96;0.979
2801303003;28;3;3;86;169;109;42;114;337;274;6;7.564;14.864;9.587;3.694;10.026;29.639;24.099;0.528
2801303004;28;3;4;95;110;57;26;75;235;194;10;11.845;13.716;7.107;3.242;9.352;29.302;24.19;1.247
2801303005;28;3;5;63;106;51;48;88;184;316;2;7.343;12.354;5.944;5.594;10.256;21.445;36.83;0.233
2801303006;28;3;6;30;113;42;41;50;173;321;6;3.866;14.562;5.412;5.284;6.443;22.294;41.366;0.773
2801303007;28;3;7;48;111;61;46;73;116;249;8;6.742;15.59;8.567;6.461;10.253;16.292;34.972;1.124
2801303008;28;3;8;70;99;51;31;71;184;167;11;10.234;14.474;7.456;4.532;10.38;26.901;24.415;1.608
2801303009;28;3;9;43;93;65;20;50;174;134;11;7.288;15.763;11.017;3.39;8.475;29.492;22.712;1.864
2801303010;28;3;10;82;166;109;41;85;237;274;8;8.184;16.567;10.878;4.092;8.483;23.653;27.345;0.798
2801304001;28;4;1;27;50;22;3;34;156;93;2;6.977;12.92;5.685;0.775;8.786;40.31;24.031;0.517
2801304002;28;4;2;77;113;53;20;71;202;170;11;10.739;15.76;7.392;2.789;9.902;28.173;23.71;1.534
2801304003;28;4;3;53;96;62;26;53;278;161;4;7.231;13.097;8.458;3.547;7.231;37.926;21.965;0.546
