CUSEC;PROV;DIST;SECC_CEN;AA;ARGANSIP;C's;IUCM-LV;P.P.;P.S.O.E.;PVA;SOMOSARG;UPyD;%AA;%ARGANSIP;%C's;%IUCM-LV;%P.P.;%P.S.O.E.;%PVA;%SOMOSARG;%UPyD
2801401001;28;1;1;47;26;64;61;166;118;13;12;12;9.056;5.01;12.331;11.753;31.985;22.736;2.505;2.312;2.312
2801401002;28;1;2;76;40;64;60;240;211;16;12;22;10.256;5.398;8.637;8.097;32.389;28.475;2.159;1.619;2.969
2801401003;28;1;3;26;24;62;48;221;141;15;12;13;4.626;4.27;11.032;8.541;39.324;25.089;2.669;2.135;2.313
2801401004;28;1;4;65;35;78;61;262;132;35;7;24;9.299;5.007;11.159;8.727;37.482;18.884;5.007;1.001;3.433
2801401026;28;1;26;97;76;232;82;297;151;25;14;55;9.427;7.386;22.546;7.969;28.863;14.674;2.43;1.361;5.345
2801401005;28;1;5;51;50;67;49;252;146;32;9;17;7.578;7.429;9.955;7.281;37.444;21.694;4.755;1.337;2.526
2801401006;28;1;6;27;21;29;32;89;90;5;13;11;8.517;6.625;9.148;10.095;28.076;28.391;1.577;4.101;3.47
2801401007;28;1;7;49;32;43;28;277;106;15;32;11;8.263;5.396;7.251;4.722;46.712;17.875;2.53;5.396;1.855
2801401008;28;1;8;32;52;46;32;284;131;16;14;22;5.087;8.267;7.313;5.087;45.151;20.827;2.544;2.226;3.498
2801401009;28;1;9;69;23;54;47;410;217;33;20;29;7.65;2.55;5.987;5.211;45.455;24.058;3.659;2.217;3.215
2801401010;28;1;10;104;66;115;106;386;208;27;13;43;9.738;6.18;10.768;9.925;36.142;19.476;2.528;1.217;4.026
2801401011;28;1;11;46;51;112;72;211;155;36;9;27;6.398;7.093;15.577;10.014;29.346;21.558;5.007;1.252;3.755
2801401012;28;1;12;66;50;111;78;258;165;23;16;23;8.354;6.329;14.051;9.873;32.658;20.886;2.911;2.025;2.911
2801401013;28;1;13;111;57;127;83;225;214;10;9;40;12.671;6.507;14.498;9.475;25.685;24.429;1.142;1.027;4.566
2801401014;28;1;14;94;64;96;57;209;157;16;11;26;12.877;8.767;13.151;7.808;28.63;21.507;2.192;1.507;3.562
2801401015;28;1;15;105;79;93;88;204;178;4;18;22;13.274;9.987;11.757;11.125;25.79;22.503;0.506;2.276;2.781
2801401016;28;1;16;39;30;49;32;176;116;16;5;13;8.193;6.303;10.294;6.723;36.975;24.37;3.361;1.05;2.731
2801401017;28;1;17;70;62;115;91;339;205;51;34;49;6.89;6.102;11.319;8.957;33.366;20.177;5.02;3.346;4.823
2801401018;28;1;18;52;48;63;36;212;146;21;7;33;8.414;7.767;10.194;5.825;34.304;23.625;3.398;1.133;5.34
2801401019;28;1;19;107;64;119;68;270;166;17;16;43;12.299;7.356;13.678;7.816;31.034;19.08;1.954;1.839;4.943
2801401020;28;1;20;87;62;146;82;324;172;14;15;52;9.119;6.499;15.304;8.595;33.962;18.029;1.468;1.572;5.451
2801401021;28;1;21;102;83;191;87;429;171;48;19;45;8.681;7.064;16.255;7.404;36.511;14.553;4.085;1.617;3.83
2801401022;28;1;22;125;96;166;109;192;199;35;26;33;12.742;9.786;16.922;11.111;19.572;20.285;3.568;2.65;3.364
2801401023;28;1;23;79;48;74;69;207;164;15;33;15;11.222;6.818;10.511;9.801;29.403;23.295;2.131;4.688;2.131
2801401024;28;1;24;106;83;246;88;255;137;17;17;54;10.568;8.275;24.526;8.774;25.424;13.659;1.695;1.695;5.384
2801401025;28;1;25;113;89;185;120;317;205;32;21;73;9.784;7.706;16.017;10.39;27.446;17.749;2.771;1.818;6.32
