CUSEC;PROV;DIST;SECC_CEN;A.P.B.;C's;IUCM-LV-GAN;P.P.;P.S.O.E.;UPyD;VOX;%A.P.B.;%C's;%IUCM-LV-GAN;%P.P.;%P.S.O.E.;%UPyD;%VOX
2802201021;28;1;21;127;143;69;485;80;42;24;13.093;14.742;7.113;50.0;8.247;4.33;2.474
2802201022;28;1;22;105;112;32;456;52;11;20;13.325;14.213;4.061;57.868;6.599;1.396;2.538
2802201023;28;1;23;57;157;63;522;81;21;30;6.122;16.864;6.767;56.069;8.7;2.256;3.222
2802201024;28;1;24;82;106;65;381;68;30;17;10.948;14.152;8.678;50.868;9.079;4.005;2.27
2802201025;28;1;25;58;158;37;596;58;17;26;6.105;16.632;3.895;62.737;6.105;1.789;2.737
2802201011;28;1;11;119;106;78;390;84;36;26;14.184;12.634;9.297;46.484;10.012;4.291;3.099
2802201012;28;1;12;107;146;84;497;91;38;30;10.775;14.703;8.459;50.05;9.164;3.827;3.021
2802201013;28;1;13;122;206;83;745;115;32;37;9.104;15.373;6.194;55.597;8.582;2.388;2.761
2802201014;28;1;14;76;132;29;519;56;27;20;8.847;15.367;3.376;60.419;6.519;3.143;2.328
2802201015;28;1;15;117;147;92;541;101;37;35;10.935;13.738;8.598;50.561;9.439;3.458;3.271
2802201016;28;1;16;72;177;43;456;87;20;20;8.229;20.229;4.914;52.114;9.943;2.286;2.286
2802201017;28;1;17;92;151;74;536;94;25;14;9.331;15.314;7.505;54.361;9.533;2.535;1.42
2802201018;28;1;18;168;193;81;787;119;37;43;11.765;13.515;5.672;55.112;8.333;2.591;3.011
2802201019;28;1;19;115;139;45;498;71;25;22;12.568;15.191;4.918;54.426;7.76;2.732;2.404
2802201020;28;1;20;72;140;32;635;75;21;22;7.222;14.042;3.21;63.691;7.523;2.106;2.207
2802201001;28;1;1;181;52;45;371;88;22;16;23.355;6.71;5.806;47.871;11.355;2.839;2.065
2802201002;28;1;2;13;45;20;311;17;6;16;3.037;10.514;4.673;72.664;3.972;1.402;3.738
2802201003;28;1;3;134;181;73;684;98;33;54;10.66;14.399;5.807;54.415;7.796;2.625;4.296
2802201004;28;1;4;95;125;31;741;49;13;53;8.582;11.292;2.8;66.938;4.426;1.174;4.788
2802201005;28;1;5;65;101;43;446;61;44;20;8.333;12.949;5.513;57.179;7.821;5.641;2.564
2802201006;28;1;6;102;96;103;423;94;19;30;11.765;11.073;11.88;48.789;10.842;2.191;3.46
2802201007;28;1;7;86;109;71;512;79;31;23;9.44;11.965;7.794;56.202;8.672;3.403;2.525
2802201008;28;1;8;106;31;27;204;51;11;8;24.201;7.078;6.164;46.575;11.644;2.511;1.826
2802201009;28;1;9;32;78;15;453;24;4;23;5.087;12.401;2.385;72.019;3.816;0.636;3.657
2802201010;28;1;10;88;155;71;539;118;23;24;8.644;15.226;6.974;52.947;11.591;2.259;2.358
