CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX;%C's;%IMAGINA BUR;%PCAS-TC;%PORBUR;%PP;%PSOE;%SAIn;%UPYD;%VOX
905907006;9;7;6;97;133;3;37;150;131;2;14;16;16.638;22.813;0.515;6.346;25.729;22.47;0.343;2.401;2.744
905907007;9;7;7;108;127;8;19;234;119;1;21;2;16.901;19.875;1.252;2.973;36.62;18.623;0.156;3.286;0.313
905907008;9;7;8;105;145;8;30;264;164;7;20;9;13.963;19.282;1.064;3.989;35.106;21.809;0.931;2.66;1.197
905907009;9;7;9;58;91;3;15;187;94;2;7;13;12.34;19.362;0.638;3.191;39.787;20.0;0.426;1.489;2.766
905907010;9;7;10;103;165;6;25;329;216;5;24;17;11.573;18.539;0.674;2.809;36.966;24.27;0.562;2.697;1.91
905908001;9;8;1;25;57;2;9;104;77;3;6;8;8.591;19.588;0.687;3.093;35.739;26.46;1.031;2.062;2.749
905908002;9;8;2;82;142;15;23;188;145;2;9;11;13.29;23.015;2.431;3.728;30.47;23.501;0.324;1.459;1.783
905908003;9;8;3;162;231;11;38;276;194;10;31;22;16.615;23.692;1.128;3.897;28.308;19.897;1.026;3.179;2.256
905908004;9;8;4;158;70;1;21;275;85;6;16;37;23.617;10.463;0.149;3.139;41.106;12.706;0.897;2.392;5.531
905908005;9;8;5;281;284;5;36;338;229;8;29;24;22.771;23.015;0.405;2.917;27.391;18.558;0.648;2.35;1.945
905909002;9;9;2;29;95;8;9;138;172;2;9;9;6.157;20.17;1.699;1.911;29.299;36.518;0.425;1.911;1.911
905909003;9;9;3;67;140;8;10;174;209;1;13;6;10.669;22.293;1.274;1.592;27.707;33.28;0.159;2.07;0.955
905909004;9;9;4;31;57;9;8;106;135;3;4;2;8.732;16.056;2.535;2.254;29.859;38.028;0.845;1.127;0.563
905909005;9;9;5;42;90;5;10;107;178;3;8;7;9.333;20.0;1.111;2.222;23.778;39.556;0.667;1.778;1.556
905909006;9;9;6;58;111;3;15;120;119;0;17;5;12.946;24.777;0.67;3.348;26.786;26.562;0.0;3.795;1.116
905909007;9;9;7;158;190;14;17;308;279;2;21;18;15.69;18.868;1.39;1.688;30.586;27.706;0.199;2.085;1.787
905909008;9;9;8;32;117;2;11;193;158;2;8;14;5.959;21.788;0.372;2.048;35.94;29.423;0.372;1.49;2.607
905909009;9;9;9;53;95;3;8;110;137;4;22;7;12.073;21.64;0.683;1.822;25.057;31.207;0.911;5.011;1.595
905909010;9;9;10;30;90;3;7;117;115;4;9;20;7.595;22.785;0.759;1.772;29.62;29.114;1.013;2.278;5.063
905909011;9;9;11;64;86;5;11;168;179;2;12;9;11.94;16.045;0.933;2.052;31.343;33.396;0.373;2.239;1.679
905909012;9;9;12;85;241;11;16;202;281;5;29;28;9.465;26.837;1.225;1.782;22.494;31.292;0.557;3.229;3.118
905909013;9;9;13;59;108;3;11;138;143;0;9;2;12.474;22.833;0.634;2.326;29.175;30.233;0.0;1.903;0.423
905909014;9;9;14;34;99;8;20;121;159;3;14;5;7.343;21.382;1.728;4.32;26.134;34.341;0.648;3.024;1.08
905909015;9;9;15;67;123;5;11;105;169;6;15;5;13.241;24.308;0.988;2.174;20.751;33.399;1.186;2.964;0.988
905909016;9;9;16;162;193;20;18;266;265;0;33;15;16.667;19.856;2.058;1.852;27.366;27.263;0.0;3.395;1.543
905908006;9;8;6;110;158;4;26;323;143;7;22;35;13.285;19.082;0.483;3.14;39.01;17.271;0.845;2.657;4.227
905908007;9;8;7;44;95;5;15;144;118;0;5;9;10.115;21.839;1.149;3.448;33.103;27.126;0.0;1.149;2.069
905908008;9;8;8;149;237;9;36;277;229;11;33;14;14.975;23.819;0.905;3.618;27.839;23.015;1.106;3.317;1.407
905908009;9;8;9;56;87;8;6;146;89;1;16;2;13.625;21.168;1.946;1.46;35.523;21.655;0.243;3.893;0.487
905908010;9;8;10;102;158;11;22;148;114;3;12;13;17.496;27.101;1.887;3.774;25.386;19.554;0.515;2.058;2.23
905908011;9;8;11;180;107;3;21;309;114;4;31;22;22.756;13.527;0.379;2.655;39.064;14.412;0.506;3.919;2.781
905909001;9;9;1;41;117;6;4;143;156;2;13;5;8.419;24.025;1.232;0.821;29.363;32.033;0.411;2.669;1.027
905906006;9;6;6;92;140;2;20;228;118;3;15;16;14.511;22.082;0.315;3.155;35.962;18.612;0.473;2.366;2.524
905906007;9;6;7;152;171;9;16;405;192;11;27;12;15.276;17.186;0.905;1.608;40.704;19.296;1.106;2.714;1.206
905906008;9;6;8;80;118;6;17;140;116;9;24;10;15.385;22.692;1.154;3.269;26.923;22.308;1.731;4.615;1.923
905906009;9;6;9;42;78;4;10;183;95;6;11;4;9.7;18.014;0.924;2.309;42.263;21.94;1.386;2.54;0.924
905906010;9;6;10;47;60;5;4;125;99;2;7;5;13.277;16.949;1.412;1.13;35.311;27.966;0.565;1.977;1.412
905906011;9;6;11;46;69;3;10;165;83;1;8;11;11.616;17.424;0.758;2.525;41.667;20.96;0.253;2.02;2.778
905906012;9;6;12;95;98;2;19;251;119;0;12;15;15.548;16.039;0.327;3.11;41.08;19.476;0.0;1.964;2.455
905907001;9;7;1;65;72;2;13;210;69;6;6;6;14.477;16.036;0.445;2.895;46.771;15.367;1.336;1.336;1.336
905907002;9;7;2;66;105;4;24;248;101;12;12;17;11.205;17.827;0.679;4.075;42.105;17.148;2.037;2.037;2.886
905907003;9;7;3;140;167;9;21;293;153;6;16;22;16.929;20.193;1.088;2.539;35.429;18.501;0.726;1.935;2.66
905907004;9;7;4;59;103;7;4;249;116;0;4;18;10.536;18.393;1.25;0.714;44.464;20.714;0.0;0.714;3.214
905907005;9;7;5;56;78;6;8;139;94;3;9;7;14.0;19.5;1.5;2.0;34.75;23.5;0.75;2.25;1.75
905905024;9;5;24;115;266;14;26;196;245;8;24;16;12.637;29.231;1.538;2.857;21.538;26.923;0.879;2.637;1.758
905905025;9;5;25;89;119;2;29;361;105;4;9;28;11.93;15.952;0.268;3.887;48.391;14.075;0.536;1.206;3.753
905903006;9;3;6;136;253;15;29;274;270;5;32;16;13.204;24.563;1.456;2.816;26.602;26.214;0.485;3.107;1.553
905903007;9;3;7;90;107;5;22;289;115;3;10;14;13.74;16.336;0.763;3.359;44.122;17.557;0.458;1.527;2.137
905903008;9;3;8;112;155;9;15;197;169;7;23;11;16.046;22.206;1.289;2.149;28.223;24.212;1.003;3.295;1.576
905905026;9;5;26;108;71;3;16;318;46;0;12;19;18.212;11.973;0.506;2.698;53.626;7.757;0.0;2.024;3.204
905905027;9;5;27;84;64;2;13;265;62;1;11;32;15.73;11.985;0.375;2.434;49.625;11.61;0.187;2.06;5.993
905905028;9;5;28;92;39;4;2;251;44;1;19;18;19.574;8.298;0.851;0.426;53.404;9.362;0.213;4.043;3.83
905905029;9;5;29;43;62;3;13;177;86;2;6;17;10.513;15.159;0.733;3.178;43.276;21.027;0.489;1.467;4.156
905905030;9;5;30;32;117;2;10;95;129;2;14;17;7.656;27.99;0.478;2.392;22.727;30.861;0.478;3.349;4.067
905905031;9;5;31;82;128;2;14;149;99;2;10;15;16.367;25.549;0.399;2.794;29.741;19.76;0.399;1.996;2.994
905905032;9;5;32;127;130;4;20;284;144;3;23;22;16.777;17.173;0.528;2.642;37.517;19.022;0.396;3.038;2.906
905905033;9;5;33;173;236;17;34;312;210;3;20;31;16.699;22.78;1.641;3.282;30.116;20.27;0.29;1.931;2.992
905905034;9;5;34;40;51;1;10;165;65;5;5;13;11.268;14.366;0.282;2.817;46.479;18.31;1.408;1.408;3.662
905905035;9;5;35;132;149;5;16;123;151;3;26;10;21.463;24.228;0.813;2.602;20.0;24.553;0.488;4.228;1.626
905909017;9;9;17;39;93;2;5;112;141;2;7;4;9.63;22.963;0.494;1.235;27.654;34.815;0.494;1.728;0.988
905909018;9;9;18;23;68;3;2;111;107;0;4;7;7.077;20.923;0.923;0.615;34.154;32.923;0.0;1.231;2.154
905903009;9;3;9;148;279;12;28;247;221;8;27;22;14.919;28.125;1.21;2.823;24.899;22.278;0.806;2.722;2.218
905903010;9;3;10;176;249;12;20;152;195;18;31;13;20.323;28.753;1.386;2.309;17.552;22.517;2.079;3.58;1.501
905903011;9;3;11;93;171;7;16;79;103;0;7;10;19.136;35.185;1.44;3.292;16.255;21.193;0.0;1.44;2.058
905904001;9;4;1;58;141;4;12;165;107;4;10;22;11.09;26.96;0.765;2.294;31.549;20.459;0.765;1.912;4.207
905904002;9;4;2;37;92;5;6;147;96;3;4;11;9.227;22.943;1.247;1.496;36.658;23.94;0.748;0.998;2.743
905904003;9;4;3;34;113;7;7;69;64;2;5;4;11.148;37.049;2.295;2.295;22.623;20.984;0.656;1.639;1.311
905904004;9;4;4;24;124;5;6;86;76;6;10;5;7.018;36.257;1.462;1.754;25.146;22.222;1.754;2.924;1.462
905905001;9;5;1;83;147;11;21;217;169;6;11;17;12.17;21.554;1.613;3.079;31.818;24.78;0.88;1.613;2.493
