CUSEC;PROV;DIST;SECC_CEN;C's;CAMBIEMOS V;FUTURA;IUCM - LV;P.P.;P.S.O.E.;PCAS-TC-PAC;PxL - CON L;UPyD;VOX;%C's;%CAMBIEMOS V;%FUTURA;%IUCM - LV;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%PxL - CON L;%UPyD;%VOX
2804701001;28;1;1;130;140;11;92;263;194;1;20;30;7;14.64;15.766;1.239;10.36;29.617;21.847;0.113;2.252;3.378;0.788
2804701002;28;1;2;35;53;4;22;144;105;0;8;7;2;9.211;13.947;1.053;5.789;37.895;27.632;0.0;2.105;1.842;0.526
2804701003;28;1;3;191;164;12;101;410;166;3;8;47;11;17.161;14.735;1.078;9.075;36.837;14.915;0.27;0.719;4.223;0.988
2804701004;28;1;4;133;263;14;99;384;299;5;19;38;11;10.514;20.791;1.107;7.826;30.356;23.636;0.395;1.502;3.004;0.87
2804701021;28;1;21;137;227;6;75;236;142;0;16;38;6;15.515;25.708;0.68;8.494;26.727;16.082;0.0;1.812;4.304;0.68
2804701022;28;1;22;184;261;15;82;251;149;0;11;51;15;18.057;25.613;1.472;8.047;24.632;14.622;0.0;1.079;5.005;1.472
2804701023;28;1;23;99;146;6;66;144;101;2;8;20;1;16.695;24.621;1.012;11.13;24.283;17.032;0.337;1.349;3.373;0.169
2804701005;28;1;5;170;226;8;91;381;287;5;22;57;13;13.492;17.937;0.635;7.222;30.238;22.778;0.397;1.746;4.524;1.032
2804701006;28;1;6;63;75;4;37;187;256;0;10;20;4;9.604;11.433;0.61;5.64;28.506;39.024;0.0;1.524;3.049;0.61
2804701007;28;1;7;151;193;8;95;281;177;0;23;40;11;15.424;19.714;0.817;9.704;28.703;18.08;0.0;2.349;4.086;1.124
2804701024;28;1;24;111;248;3;83;240;148;0;20;35;9;12.375;27.648;0.334;9.253;26.756;16.499;0.0;2.23;3.902;1.003
2804701025;28;1;25;119;162;10;105;212;169;2;19;51;6;13.918;18.947;1.17;12.281;24.795;19.766;0.234;2.222;5.965;0.702
2804701026;28;1;26;217;185;6;92;326;152;1;8;29;16;21.027;17.926;0.581;8.915;31.589;14.729;0.097;0.775;2.81;1.55
2804701027;28;1;27;160;196;3;84;275;126;3;6;51;9;17.525;21.468;0.329;9.2;30.12;13.801;0.329;0.657;5.586;0.986
2804701028;28;1;28;125;153;12;96;243;120;1;7;46;10;15.375;18.819;1.476;11.808;29.889;14.76;0.123;0.861;5.658;1.23
2804701029;28;1;29;69;93;3;49;148;135;3;14;26;3;12.707;17.127;0.552;9.024;27.256;24.862;0.552;2.578;4.788;0.552
2804701008;28;1;8;95;190;3;62;201;103;0;11;29;14;13.418;26.836;0.424;8.757;28.39;14.548;0.0;1.554;4.096;1.977
2804701009;28;1;9;92;132;9;63;284;170;0;7;29;3;11.66;16.73;1.141;7.985;35.995;21.546;0.0;0.887;3.676;0.38
2804701010;28;1;10;51;74;2;33;217;191;2;12;23;3;8.388;12.171;0.329;5.428;35.691;31.414;0.329;1.974;3.783;0.493
2804701011;28;1;11;104;138;8;40;245;150;1;17;40;8;13.848;18.375;1.065;5.326;32.623;19.973;0.133;2.264;5.326;1.065
2804701012;28;1;12;39;66;3;31;196;272;4;15;22;6;5.963;10.092;0.459;4.74;29.969;41.59;0.612;2.294;3.364;0.917
2804701013;28;1;13;126;169;15;80;417;164;1;15;39;7;12.197;16.36;1.452;7.744;40.368;15.876;0.097;1.452;3.775;0.678
2804701030;28;1;30;79;113;5;50;157;142;2;10;24;2;13.527;19.349;0.856;8.562;26.884;24.315;0.342;1.712;4.11;0.342
2804701031;28;1;31;120;87;3;63;270;107;0;8;47;17;16.62;12.05;0.416;8.726;37.396;14.82;0.0;1.108;6.51;2.355
2804701014;28;1;14;145;194;9;72;255;182;3;23;37;14;15.525;20.771;0.964;7.709;27.302;19.486;0.321;2.463;3.961;1.499
2804701015;28;1;15;43;46;2;39;192;184;0;15;7;9;8.007;8.566;0.372;7.263;35.754;34.264;0.0;2.793;1.304;1.676
2804701016;28;1;16;166;283;10;120;379;222;3;19;63;13;12.989;22.144;0.782;9.39;29.656;17.371;0.235;1.487;4.93;1.017
2804701017;28;1;17;120;147;4;79;274;118;0;15;40;8;14.907;18.261;0.497;9.814;34.037;14.658;0.0;1.863;4.969;0.994
2804701018;28;1;18;150;159;1;61;278;153;0;16;44;22;16.968;17.986;0.113;6.9;31.448;17.308;0.0;1.81;4.977;2.489
2804701019;28;1;19;146;185;11;64;296;131;1;15;57;19;15.784;20.0;1.189;6.919;32.0;14.162;0.108;1.622;6.162;2.054
2804701020;28;1;20;173;228;9;94;369;196;0;23;87;16;14.477;19.079;0.753;7.866;30.879;16.402;0.0;1.925;7.28;1.339
