CUSEC;PROV;DIST;SECC_CEN;ARCO;C's;CDEC;IUCM-LV;P.P.;P.S.O.E.;SmC;UPyD;%ARCO;%C's;%CDEC;%IUCM-LV;%P.P.;%P.S.O.E.;%SmC;%UPyD
2804901022;28;1;22;46;117;12;69;301;113;181;32;5.281;13.433;1.378;7.922;34.558;12.974;20.781;3.674
2804901023;28;1;23;51;123;3;92;198;165;253;23;5.617;13.546;0.33;10.132;21.806;18.172;27.863;2.533
2804901024;28;1;24;50;169;19;95;279;209;256;37;4.488;15.171;1.706;8.528;25.045;18.761;22.98;3.321
2804902001;28;2;1;25;86;6;83;216;170;225;23;2.998;10.312;0.719;9.952;25.899;20.384;26.978;2.758
2804902002;28;2;2;39;54;5;42;129;168;118;35;6.61;9.153;0.847;7.119;21.864;28.475;20.0;5.932
2804902003;28;2;3;27;47;4;55;126;167;91;14;5.085;8.851;0.753;10.358;23.729;31.45;17.137;2.637
2804902004;28;2;4;34;89;8;108;166;196;201;34;4.067;10.646;0.957;12.919;19.856;23.445;24.043;4.067
2804902005;28;2;5;66;167;9;135;307;220;261;40;5.477;13.859;0.747;11.203;25.477;18.257;21.66;3.32
2804902006;28;2;6;46;144;13;151;331;264;284;53;3.577;11.198;1.011;11.742;25.739;20.529;22.084;4.121
2804902016;28;2;16;43;115;5;133;178;277;168;33;4.517;12.08;0.525;13.971;18.697;29.097;17.647;3.466
2804902017;28;2;17;29;71;2;77;157;152;163;34;4.234;10.365;0.292;11.241;22.92;22.19;23.796;4.964
2804902018;28;2;18;31;69;9;69;241;130;119;28;4.454;9.914;1.293;9.914;34.626;18.678;17.098;4.023
2804902019;28;2;19;51;101;3;113;227;137;255;44;5.478;10.849;0.322;12.137;24.382;14.715;27.39;4.726
2804902020;28;2;20;45;133;3;56;310;199;180;29;4.712;13.927;0.314;5.864;32.461;20.838;18.848;3.037
2804902021;28;2;21;34;64;8;80;152;149;179;28;4.899;9.222;1.153;11.527;21.902;21.47;25.793;4.035
2804903001;28;3;1;36;91;0;99;234;210;219;23;3.947;9.978;0.0;10.855;25.658;23.026;24.013;2.522
2804903002;28;3;2;43;89;10;93;180;198;162;27;5.362;11.097;1.247;11.596;22.444;24.688;20.2;3.367
2804903003;28;3;3;56;107;18;121;308;268;221;29;4.965;9.486;1.596;10.727;27.305;23.759;19.592;2.571
2804901001;28;1;1;31;42;3;43;93;84;60;11;8.447;11.444;0.817;11.717;25.341;22.888;16.349;2.997
2804901002;28;1;2;63;73;9;83;175;184;184;18;7.985;9.252;1.141;10.52;22.18;23.321;23.321;2.281
2804901003;28;1;3;46;45;2;35;149;109;82;13;9.563;9.356;0.416;7.277;30.977;22.661;17.048;2.703
2804901004;28;1;4;122;111;8;84;259;244;173;32;11.81;10.745;0.774;8.132;25.073;23.621;16.747;3.098
2804903004;28;3;4;62;159;20;123;327;285;241;34;4.956;12.71;1.599;9.832;26.139;22.782;19.265;2.718
2804903005;28;3;5;53;143;4;159;259;240;210;17;4.885;13.18;0.369;14.654;23.871;22.12;19.355;1.567
