CUSEC;PROV;DIST;SECC_CEN;C's;GF;IUCM-LV;P.P.;P.S.O.E.;UPyD;VOX;%C's;%GF;%IUCM-LV;%P.P.;%P.S.O.E.;%UPyD;%VOX
2805801002;28;1;2;69;134;47;98;343;17;7;9.65;18.741;6.573;13.706;47.972;2.378;0.979
2805801003;28;1;3;55;75;44;74;279;7;2;10.261;13.993;8.209;13.806;52.052;1.306;0.373
2805801004;28;1;4;155;174;68;163;512;32;5;13.977;15.69;6.132;14.698;46.168;2.885;0.451
2805801005;28;1;5;66;105;44;129;307;9;7;9.895;15.742;6.597;19.34;46.027;1.349;1.049
2805801006;28;1;6;54;96;39;78;223;8;2;10.8;19.2;7.8;15.6;44.6;1.6;0.4
2805801007;28;1;7;36;82;33;61;204;14;3;8.314;18.938;7.621;14.088;47.113;3.233;0.693
2805802001;28;2;1;73;111;45;163;251;22;5;10.896;16.567;6.716;24.328;37.463;3.284;0.746
2805802002;28;2;2;113;130;51;158;369;26;4;13.278;15.276;5.993;18.566;43.361;3.055;0.47
2805802003;28;2;3;84;91;37;127;268;11;11;13.355;14.467;5.882;20.191;42.607;1.749;1.749
2805802004;28;2;4;69;110;29;183;260;12;9;10.268;16.369;4.315;27.232;38.69;1.786;1.339
2805802005;28;2;5;45;75;34;92;355;13;3;7.293;12.156;5.511;14.911;57.536;2.107;0.486
2805802006;28;2;6;76;73;53;106;346;18;3;11.259;10.815;7.852;15.704;51.259;2.667;0.444
2805802007;28;2;7;41;63;18;114;143;10;9;10.302;15.829;4.523;28.643;35.93;2.513;2.261
2805802008;28;2;8;54;47;24;103;208;16;4;11.842;10.307;5.263;22.588;45.614;3.509;0.877
2805802009;28;2;9;103;141;71;186;465;22;5;10.373;14.199;7.15;18.731;46.828;2.216;0.504
2805802010;28;2;10;84;84;25;114;256;11;7;14.458;14.458;4.303;19.621;44.062;1.893;1.205
2805802011;28;2;11;81;138;35;142;328;18;12;10.743;18.302;4.642;18.833;43.501;2.387;1.592
2805802012;28;2;12;110;82;31;188;353;14;3;14.085;10.499;3.969;24.072;45.198;1.793;0.384
2805802013;28;2;13;53;73;26;73;170;9;3;13.022;17.936;6.388;17.936;41.769;2.211;0.737
2805802014;28;2;14;69;83;25;101;233;8;2;13.244;15.931;4.798;19.386;44.722;1.536;0.384
2805802015;28;2;15;59;66;13;106;159;16;1;14.048;15.714;3.095;25.238;37.857;3.81;0.238
2805802016;28;2;16;57;77;29;101;209;6;9;11.68;15.779;5.943;20.697;42.828;1.23;1.844
2805802017;28;2;17;47;79;32;88;240;11;3;9.4;15.8;6.4;17.6;48.0;2.2;0.6
2805803001;28;3;1;48;74;39;61;286;20;4;9.023;13.91;7.331;11.466;53.759;3.759;0.752
2805803002;28;3;2;84;63;53;133;370;11;11;11.586;8.69;7.31;18.345;51.034;1.517;1.517
2805803003;28;3;3;51;64;41;167;293;7;3;8.147;10.224;6.55;26.677;46.805;1.118;0.479
2805803004;28;3;4;63;70;24;203;226;15;3;10.43;11.589;3.974;33.609;37.417;2.483;0.497
2805806001;28;6;1;57;89;32;87;268;9;3;10.459;16.33;5.872;15.963;49.174;1.651;0.55
2805806002;28;6;2;90;125;40;115;349;16;2;12.212;16.961;5.427;15.604;47.354;2.171;0.271
2805806003;28;6;3;151;145;59;170;553;28;17;13.446;12.912;5.254;15.138;49.243;2.493;1.514
2805806004;28;6;4;120;133;79;164;499;25;10;11.65;12.913;7.67;15.922;48.447;2.427;0.971
2805806005;28;6;5;121;199;47;149;560;19;8;10.97;18.042;4.261;13.509;50.771;1.723;0.725
2805806006;28;6;6;119;106;34;162;450;33;11;13.005;11.585;3.716;17.705;49.18;3.607;1.202
2805806007;28;6;7;104;137;53;135;395;25;1;12.235;16.118;6.235;15.882;46.471;2.941;0.118
2805807014;28;7;14;144;109;41;108;374;21;1;18.045;13.659;5.138;13.534;46.867;2.632;0.125
2805807015;28;7;15;190;105;37;136;306;21;5;23.75;13.125;4.625;17.0;38.25;2.625;0.625
2805807016;28;7;16;167;210;51;106;449;29;5;16.421;20.649;5.015;10.423;44.149;2.852;0.492
2805808001;28;8;1;138;106;34;136;297;23;14;18.449;14.171;4.545;18.182;39.706;3.075;1.872
2805808002;28;8;2;66;32;23;65;177;7;3;17.694;8.579;6.166;17.426;47.453;1.877;0.804
2805808003;28;8;3;46;58;20;69;188;4;10;11.646;14.684;5.063;17.468;47.595;1.013;2.532
2805808004;28;8;4;91;81;34;106;346;27;7;13.15;11.705;4.913;15.318;50.0;3.902;1.012
2805808005;28;8;5;53;86;32;62;290;17;8;9.672;15.693;5.839;11.314;52.92;3.102;1.46
2805808006;28;8;6;115;98;44;112;423;15;7;14.128;12.039;5.405;13.759;51.966;1.843;0.86
2805808007;28;8;7;96;136;53;156;339;34;15;11.58;16.405;6.393;18.818;40.893;4.101;1.809
2805803005;28;3;5;60;80;21;118;301;14;8;9.967;13.289;3.488;19.601;50.0;2.326;1.329
2805803006;28;3;6;71;91;42;94;267;19;6;12.034;15.424;7.119;15.932;45.254;3.22;1.017
2805803007;28;3;7;75;88;40;123;337;14;6;10.981;12.884;5.857;18.009;49.341;2.05;0.878
2805806008;28;6;8;134;181;63;191;412;20;10;13.254;17.903;6.231;18.892;40.752;1.978;0.989
2805803008;28;3;8;194;175;70;162;506;29;12;16.899;15.244;6.098;14.111;44.077;2.526;1.045
