CUSEC;PROV;DIST;SECC_CEN;C's;CAMBIEMOS G;IUCM - LV;P.P.;P.S.O.E.;PxL - Con l;SPG;UPyD;VOX;VPG;%C's;%CAMBIEMOS G;%IUCM - LV;%P.P.;%P.S.O.E.;%PxL - Con l;%SPG;%UPyD;%VOX;%VPG
2806101001;28;1;1;125;181;102;477;190;46;105;29;15;74;9.301;13.467;7.589;35.491;14.137;3.423;7.812;2.158;1.116;5.506
2806101002;28;1;2;146;186;100;471;174;47;77;29;10;60;11.231;14.308;7.692;36.231;13.385;3.615;5.923;2.231;0.769;4.615
2806101003;28;1;3;99;110;78;419;137;35;64;17;24;56;9.528;10.587;7.507;40.327;13.186;3.369;6.16;1.636;2.31;5.39
2806101004;28;1;4;91;141;63;432;188;42;61;21;9;55;8.25;12.783;5.712;39.166;17.044;3.808;5.53;1.904;0.816;4.986
2806101005;28;1;5;158;143;111;505;161;27;49;20;6;63;12.711;11.504;8.93;40.628;12.953;2.172;3.942;1.609;0.483;5.068
2806101009;28;1;9;271;155;89;500;141;43;67;47;20;24;19.971;11.422;6.559;36.846;10.391;3.169;4.937;3.464;1.474;1.769
2806101010;28;1;10;71;111;45;238;57;17;31;16;10;27;11.396;17.817;7.223;38.202;9.149;2.729;4.976;2.568;1.605;4.334
2806101011;28;1;11;100;115;82;433;178;25;64;30;10;117;8.666;9.965;7.106;37.522;15.425;2.166;5.546;2.6;0.867;10.139
2806101012;28;1;12;118;140;57;457;101;35;55;24;17;38;11.324;13.436;5.47;43.858;9.693;3.359;5.278;2.303;1.631;3.647
2806101013;28;1;13;70;74;52;299;105;34;45;22;7;27;9.524;10.068;7.075;40.68;14.286;4.626;6.122;2.993;0.952;3.673
2806101006;28;1;6;111;188;71;427;106;20;53;33;13;40;10.452;17.702;6.685;40.207;9.981;1.883;4.991;3.107;1.224;3.766
2806101007;28;1;7;133;281;78;300;127;13;41;37;12;35;12.583;26.585;7.379;28.382;12.015;1.23;3.879;3.5;1.135;3.311
2806101008;28;1;8;158;89;43;565;65;14;25;57;41;24;14.616;8.233;3.978;52.266;6.013;1.295;2.313;5.273;3.793;2.22
