CUSEC;PROV;DIST;SECC_CEN;A POR ELLOS;AHORA GETAF;AdAgetafe;C's;IUCM-LV;P.P.;P.S.O.E.;UDEC;UPyD;VOX;%A POR ELLOS;%AHORA GETAF;%AdAgetafe;%C's;%IUCM-LV;%P.P.;%P.S.O.E.;%UDEC;%UPyD;%VOX
2806502011;28;2;11;0;77;5;30;10;219;102;2;8;2;0.0;16.923;1.099;6.593;2.198;48.132;22.418;0.44;1.758;0.44
2806502012;28;2;12;3;185;9;46;47;239;225;1;24;9;0.381;23.477;1.142;5.838;5.964;30.33;28.553;0.127;3.046;1.142
2806502013;28;2;13;2;219;8;101;59;325;228;0;29;9;0.204;22.347;0.816;10.306;6.02;33.163;23.265;0.0;2.959;0.918
2806502014;28;2;14;3;145;4;38;49;201;204;0;7;4;0.458;22.137;0.611;5.802;7.481;30.687;31.145;0.0;1.069;0.611
2806502015;28;2;15;2;103;6;20;19;177;107;1;13;2;0.444;22.889;1.333;4.444;4.222;39.333;23.778;0.222;2.889;0.444
2806502016;28;2;16;4;320;14;143;67;392;369;0;54;2;0.293;23.443;1.026;10.476;4.908;28.718;27.033;0.0;3.956;0.147
2806502017;28;2;17;3;358;6;142;67;510;335;0;68;15;0.199;23.803;0.399;9.441;4.455;33.91;22.274;0.0;4.521;0.997
2806502018;28;2;18;4;224;47;68;49;226;252;1;25;3;0.445;24.917;5.228;7.564;5.451;25.139;28.031;0.111;2.781;0.334
2806502019;28;2;19;1;331;16;141;65;226;316;9;47;2;0.087;28.683;1.386;12.218;5.633;19.584;27.383;0.78;4.073;0.173
2806502020;28;2;20;10;293;12;111;41;310;319;1;48;10;0.866;25.368;1.039;9.61;3.55;26.84;27.619;0.087;4.156;0.866
2806502021;28;2;21;9;381;15;133;68;370;339;1;28;9;0.665;28.16;1.109;9.83;5.026;27.347;25.055;0.074;2.069;0.665
2806503001;28;3;1;5;143;12;33;35;220;229;1;13;3;0.72;20.605;1.729;4.755;5.043;31.7;32.997;0.144;1.873;0.432
2806503002;28;3;2;1;88;0;30;21;139;155;0;8;3;0.225;19.775;0.0;6.742;4.719;31.236;34.831;0.0;1.798;0.674
2806503003;28;3;3;5;145;8;27;25;156;223;2;10;4;0.826;23.967;1.322;4.463;4.132;25.785;36.86;0.331;1.653;0.661
2806503004;28;3;4;2;99;3;23;29;132;180;1;7;1;0.419;20.755;0.629;4.822;6.08;27.673;37.736;0.21;1.468;0.21
2806503005;28;3;5;1;115;6;39;19;131;149;0;16;7;0.207;23.81;1.242;8.075;3.934;27.122;30.849;0.0;3.313;1.449
2806503006;28;3;6;3;138;2;50;39;196;239;4;17;2;0.435;20.0;0.29;7.246;5.652;28.406;34.638;0.58;2.464;0.29
2806503007;28;3;7;8;169;14;46;46;214;287;2;19;1;0.993;20.968;1.737;5.707;5.707;26.551;35.608;0.248;2.357;0.124
2806503035;28;3;35;6;251;15;102;44;231;179;0;34;7;0.69;28.884;1.726;11.738;5.063;26.582;20.598;0.0;3.913;0.806
2806503036;28;3;36;4;188;5;104;87;185;196;0;32;5;0.496;23.325;0.62;12.903;10.794;22.953;24.318;0.0;3.97;0.62
2806504017;28;4;17;5;118;7;27;40;161;236;0;12;4;0.82;19.344;1.148;4.426;6.557;26.393;38.689;0.0;1.967;0.656
2806504018;28;4;18;4;130;15;46;30;147;269;1;6;0;0.617;20.062;2.315;7.099;4.63;22.685;41.512;0.154;0.926;0.0
2806504021;28;4;21;1;53;3;20;16;130;109;0;10;2;0.291;15.407;0.872;5.814;4.651;37.791;31.686;0.0;2.907;0.581
2806504023;28;4;23;13;161;7;35;48;151;311;0;12;2;1.757;21.757;0.946;4.73;6.486;20.405;42.027;0.0;1.622;0.27
2806504024;28;4;24;6;69;5;31;13;101;146;0;8;0;1.583;18.206;1.319;8.179;3.43;26.649;38.522;0.0;2.111;0.0
2806504025;28;4;25;3;77;13;20;15;80;121;1;9;1;0.882;22.647;3.824;5.882;4.412;23.529;35.588;0.294;2.647;0.294
2806504026;28;4;26;10;141;5;40;49;139;223;2;18;3;1.587;22.381;0.794;6.349;7.778;22.063;35.397;0.317;2.857;0.476
