CUSEC;PROV;DIST;SECC_CEN;C's;CPLR;CVLR;P.P.;P.S.O.E.;SÍ SE PUEDE;UCIN;UPyD;VOX;%C's;%CPLR;%CVLR;%P.P.;%P.S.O.E.;%SÍ SE PUEDE;%UCIN;%UPyD;%VOX
2812701001;28;1;1;150;186;13;280;229;63;19;81;27;14.313;17.748;1.24;26.718;21.851;6.011;1.813;7.729;2.576
2812701002;28;1;2;75;51;12;136;79;32;5;20;7;17.986;12.23;2.878;32.614;18.945;7.674;1.199;4.796;1.679
2812701003;28;1;3;202;133;13;403;101;40;12;63;27;20.322;13.38;1.308;40.543;10.161;4.024;1.207;6.338;2.716
2812701004;28;1;4;208;117;14;430;98;35;9;35;45;20.989;11.806;1.413;43.391;9.889;3.532;0.908;3.532;4.541
2812701005;28;1;5;158;82;14;277;85;37;7;38;29;21.733;11.279;1.926;38.102;11.692;5.089;0.963;5.227;3.989
2812701006;28;1;6;81;29;4;197;20;7;0;25;25;20.876;7.474;1.031;50.773;5.155;1.804;0.0;6.443;6.443
2812701007;28;1;7;107;68;8;242;62;37;9;40;14;18.228;11.584;1.363;41.227;10.562;6.303;1.533;6.814;2.385
2812701008;28;1;8;97;133;11;220;125;41;3;64;20;13.585;18.627;1.541;30.812;17.507;5.742;0.42;8.964;2.801
2812701009;28;1;9;215;81;7;654;81;29;10;49;101;17.522;6.601;0.57;53.301;6.601;2.363;0.815;3.993;8.231
2812701010;28;1;10;171;165;5;293;205;66;11;59;34;16.947;16.353;0.496;29.039;20.317;6.541;1.09;5.847;3.37
2812701017;28;1;17;235;224;14;447;171;99;18;115;49;17.128;16.327;1.02;32.58;12.464;7.216;1.312;8.382;3.571
2812701018;28;1;18;304;162;19;516;119;31;11;60;43;24.032;12.806;1.502;40.791;9.407;2.451;0.87;4.743;3.399
2812701019;28;1;19;134;91;15;326;93;31;8;53;26;17.246;11.712;1.931;41.956;11.969;3.99;1.03;6.821;3.346
2812701020;28;1;20;139;104;20;313;82;34;15;62;29;17.419;13.033;2.506;39.223;10.276;4.261;1.88;7.769;3.634
2812701021;28;1;21;154;122;12;320;140;45;11;66;36;16.998;13.466;1.325;35.32;15.453;4.967;1.214;7.285;3.974
2812701022;28;1;22;202;255;19;337;177;81;21;120;47;16.044;20.254;1.509;26.767;14.059;6.434;1.668;9.531;3.733
2812701023;28;1;23;231;223;15;386;123;59;17;101;48;19.202;18.537;1.247;32.086;10.224;4.904;1.413;8.396;3.99
2812701024;28;1;24;220;174;20;387;132;57;5;54;29;20.408;16.141;1.855;35.9;12.245;5.288;0.464;5.009;2.69
2812701025;28;1;25;138;113;11;217;103;31;12;45;29;19.742;16.166;1.574;31.044;14.735;4.435;1.717;6.438;4.149
