CUSEC;PROV;DIST;SECC_CEN;C's;IUCM-LV;LEGANEMOS;P.P.;P.S.O.E.;UDEC;ULEG;UPyD;VOX;%C's;%IUCM-LV;%LEGANEMOS;%P.P.;%P.S.O.E.;%UDEC;%ULEG;%UPyD;%VOX
2807401001;28;1;1;28;27;108;145;113;0;98;4;6;5.293;5.104;20.416;27.41;21.361;0.0;18.526;0.756;1.134
2807401002;28;1;2;35;36;71;68;97;0;80;4;3;8.883;9.137;18.02;17.259;24.619;0.0;20.305;1.015;0.761
2807401003;28;1;3;45;26;112;123;183;2;108;9;6;7.329;4.235;18.241;20.033;29.805;0.326;17.59;1.466;0.977
2807401004;28;1;4;33;14;57;223;71;0;58;11;10;6.918;2.935;11.95;46.751;14.885;0.0;12.159;2.306;2.096
2807401005;28;1;5;52;26;148;174;141;3;109;3;12;7.784;3.892;22.156;26.048;21.108;0.449;16.317;0.449;1.796
2807401006;28;1;6;65;43;168;180;182;4;179;16;2;7.747;5.125;20.024;21.454;21.692;0.477;21.335;1.907;0.238
2807401007;28;1;7;22;46;129;114;161;0;121;9;3;3.636;7.603;21.322;18.843;26.612;0.0;20.0;1.488;0.496
2807401008;28;1;8;31;29;96;96;139;0;95;5;6;6.237;5.835;19.316;19.316;27.968;0.0;19.115;1.006;1.207
2807401009;28;1;9;60;37;148;181;220;3;162;12;4;7.255;4.474;17.896;21.886;26.602;0.363;19.589;1.451;0.484
2807401014;28;1;14;33;22;97;94;150;5;78;16;0;6.667;4.444;19.596;18.99;30.303;1.01;15.758;3.232;0.0
2807401015;28;1;15;21;13;77;55;89;0;81;3;0;6.195;3.835;22.714;16.224;26.254;0.0;23.894;0.885;0.0
2807401016;28;1;16;31;21;114;102;146;0;86;10;1;6.067;4.11;22.309;19.961;28.571;0.0;16.83;1.957;0.196
2807401017;28;1;17;33;32;82;99;145;0;86;3;0;6.875;6.667;17.083;20.625;30.208;0.0;17.917;0.625;0.0
2807401018;28;1;18;71;36;222;138;203;0;175;19;3;8.189;4.152;25.606;15.917;23.414;0.0;20.185;2.191;0.346
2807401019;28;1;19;38;31;93;61;182;0;74;7;1;7.803;6.366;19.097;12.526;37.372;0.0;15.195;1.437;0.205
2807401020;28;1;20;45;31;166;169;128;0;199;18;5;5.913;4.074;21.813;22.208;16.82;0.0;26.15;2.365;0.657
2807401021;28;1;21;12;26;49;77;101;1;100;7;1;3.209;6.952;13.102;20.588;27.005;0.267;26.738;1.872;0.267
2807401022;28;1;22;16;11;47;90;132;1;96;4;1;4.02;2.764;11.809;22.613;33.166;0.251;24.121;1.005;0.251
2807401010;28;1;10;28;25;59;177;80;2;80;7;2;6.087;5.435;12.826;38.478;17.391;0.435;17.391;1.522;0.435
2807401011;28;1;11;50;17;86;168;125;0;143;13;6;8.224;2.796;14.145;27.632;20.559;0.0;23.52;2.138;0.987
2807401012;28;1;12;49;15;67;123;105;0;97;4;2;10.606;3.247;14.502;26.623;22.727;0.0;20.996;0.866;0.433
2807401013;28;1;13;26;29;101;91;128;0;75;7;2;5.664;6.318;22.004;19.826;27.887;0.0;16.34;1.525;0.436
2807401023;28;1;23;16;24;80;71;98;0;113;6;6;3.865;5.797;19.324;17.15;23.671;0.0;27.295;1.449;1.449
