CUSEC;PROV;DIST;SECC_CEN;3VIA ó 3VIA;C's;GANEMOS;GMOST;IUCM-LV;P-LIB;P.P.;P.S.O.E.;PCAS-TC-PAC;SOMOS;UPyD;%3VIA ó 3VIA;%C's;%GANEMOS;%GMOST;%IUCM-LV;%P-LIB;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%SOMOS;%UPyD
2809202026;28;2;26;17;0;41;175;63;3;319;155;1;8;28;2.099;0.0;5.062;21.605;7.778;0.37;39.383;19.136;0.123;0.988;3.457
2809202028;28;2;28;20;0;36;191;50;3;426;202;3;6;22;2.086;0.0;3.754;19.917;5.214;0.313;44.421;21.064;0.313;0.626;2.294
2809202029;28;2;29;25;0;38;182;46;4;484;164;2;5;45;2.513;0.0;3.819;18.291;4.623;0.402;48.643;16.482;0.201;0.503;4.523
2809202030;28;2;30;7;0;22;85;29;0;211;86;1;2;19;1.515;0.0;4.762;18.398;6.277;0.0;45.671;18.615;0.216;0.433;4.113
2809202031;28;2;31;13;0;20;154;28;0;207;105;1;2;20;2.364;0.0;3.636;28.0;5.091;0.0;37.636;19.091;0.182;0.364;3.636
2809202032;28;2;32;15;0;29;179;44;0;240;154;2;8;31;2.137;0.0;4.131;25.499;6.268;0.0;34.188;21.937;0.285;1.14;4.416
2809202033;28;2;33;9;0;34;123;32;3;313;131;3;1;22;1.341;0.0;5.067;18.331;4.769;0.447;46.647;19.523;0.447;0.149;3.279
2809202034;28;2;34;28;0;64;232;73;0;373;189;1;6;50;2.756;0.0;6.299;22.835;7.185;0.0;36.713;18.602;0.098;0.591;4.921
2809203003;28;3;3;8;0;41;97;34;4;223;172;3;4;36;1.286;0.0;6.592;15.595;5.466;0.643;35.852;27.653;0.482;0.643;5.788
2809203004;28;3;4;8;0;33;54;26;2;200;121;5;6;30;1.649;0.0;6.804;11.134;5.361;0.412;41.237;24.948;1.031;1.237;6.186
2809203005;28;3;5;10;0;22;65;26;0;119;140;4;9;19;2.415;0.0;5.314;15.7;6.28;0.0;28.744;33.816;0.966;2.174;4.589
2809203006;28;3;6;19;0;36;145;53;3;252;262;2;7;34;2.337;0.0;4.428;17.835;6.519;0.369;30.996;32.226;0.246;0.861;4.182
2809203007;28;3;7;8;0;32;101;36;0;159;169;1;3;29;1.487;0.0;5.948;18.773;6.691;0.0;29.554;31.413;0.186;0.558;5.39
2809203008;28;3;8;15;0;30;113;34;3;189;175;2;4;17;2.577;0.0;5.155;19.416;5.842;0.515;32.474;30.069;0.344;0.687;2.921
2809203009;28;3;9;13;0;49;112;41;1;263;203;1;5;29;1.813;0.0;6.834;15.621;5.718;0.139;36.681;28.312;0.139;0.697;4.045
2809203010;28;3;10;21;0;30;85;30;2;200;120;1;2;15;4.15;0.0;5.929;16.798;5.929;0.395;39.526;23.715;0.198;0.395;2.964
