CUSEC;PROV;DIST;SECC_CEN;CAMBIEMOS P;IUCM-LV;M.O.V.E.R.;P.P.;P.S.O.E.;PxL - Con l;UPyD;VOX;%CAMBIEMOS P;%IUCM-LV;%M.O.V.E.R.;%P.P.;%P.S.O.E.;%PxL - Con l;%UPyD;%VOX
2810601009;28;1;9;104;91;136;201;177;49;28;8;13.098;11.461;17.128;25.315;22.292;6.171;3.526;1.008
2810601010;28;1;10;78;30;70;127;107;19;20;9;16.957;6.522;15.217;27.609;23.261;4.13;4.348;1.957
2810601011;28;1;11;91;38;62;160;134;32;38;14;15.993;6.678;10.896;28.12;23.55;5.624;6.678;2.46
2810601012;28;1;12;117;56;75;124;130;29;31;9;20.49;9.807;13.135;21.716;22.767;5.079;5.429;1.576
2810601019;28;1;19;49;33;53;76;80;17;8;5;15.265;10.28;16.511;23.676;24.922;5.296;2.492;1.558
2810601021;28;1;21;84;62;87;165;148;48;32;11;13.187;9.733;13.658;25.903;23.234;7.535;5.024;1.727
2810601022;28;1;22;81;52;84;109;118;22;13;12;16.497;10.591;17.108;22.2;24.033;4.481;2.648;2.444
2810601023;28;1;23;144;86;131;147;165;37;37;11;18.997;11.346;17.282;19.393;21.768;4.881;4.881;1.451
2810601024;28;1;24;118;45;128;153;99;27;25;9;19.536;7.45;21.192;25.331;16.391;4.47;4.139;1.49
2810601025;28;1;25;113;56;146;153;118;23;27;9;17.519;8.682;22.636;23.721;18.295;3.566;4.186;1.395
2810601026;28;1;26;120;76;67;126;124;23;24;9;21.09;13.357;11.775;22.144;21.793;4.042;4.218;1.582
2810601027;28;1;27;111;55;182;108;113;26;25;8;17.675;8.758;28.981;17.197;17.994;4.14;3.981;1.274
2810601028;28;1;28;180;104;171;192;191;55;35;14;19.108;11.04;18.153;20.382;20.276;5.839;3.715;1.486
2810601029;28;1;29;157;68;122;177;145;25;33;5;21.448;9.29;16.667;24.18;19.809;3.415;4.508;0.683
2810601030;28;1;30;120;83;137;137;115;25;30;6;18.377;12.711;20.98;20.98;17.611;3.828;4.594;0.919
2810601031;28;1;31;109;67;133;111;97;26;31;6;18.793;11.552;22.931;19.138;16.724;4.483;5.345;1.034
2810601032;28;1;32;119;49;124;116;95;30;22;6;21.212;8.734;22.103;20.677;16.934;5.348;3.922;1.07
2810601033;28;1;33;59;21;39;65;97;15;2;5;19.472;6.931;12.871;21.452;32.013;4.95;0.66;1.65
2810601034;28;1;34;149;91;150;195;156;63;32;10;17.612;10.757;17.73;23.05;18.44;7.447;3.783;1.182
2810601013;28;1;13;112;68;105;143;114;58;31;9;17.5;10.625;16.406;22.344;17.812;9.062;4.844;1.406
2810601014;28;1;14;50;28;60;79;103;11;12;7;14.286;8.0;17.143;22.571;29.429;3.143;3.429;2.0
2810601015;28;1;15;112;38;111;136;146;27;14;12;18.792;6.376;18.624;22.819;24.497;4.53;2.349;2.013
2810601016;28;1;16;132;72;147;178;138;28;29;13;17.91;9.769;19.946;24.152;18.725;3.799;3.935;1.764
2810601017;28;1;17;132;56;132;181;175;20;28;12;17.935;7.609;17.935;24.592;23.777;2.717;3.804;1.63
2810601018;28;1;18;123;67;147;137;122;36;14;15;18.608;10.136;22.239;20.726;18.457;5.446;2.118;2.269
2810601035;28;1;35;140;59;124;178;202;35;32;10;17.949;7.564;15.897;22.821;25.897;4.487;4.103;1.282
2810601036;28;1;36;128;82;187;176;184;24;33;12;15.496;9.927;22.639;21.308;22.276;2.906;3.995;1.453
2810601037;28;1;37;92;51;152;92;90;30;14;4;17.524;9.714;28.952;17.524;17.143;5.714;2.667;0.762
2810601038;28;1;38;132;62;140;139;87;25;38;10;20.853;9.795;22.117;21.959;13.744;3.949;6.003;1.58
