CUSEC;PROV;DIST;SECC_CEN;C's;GANEMOS PIN;IUCM - LV;MOVIMIENTO;P.P.;P.S.O.E.;PCAS-TC-PAC;UPyD;VOX;%C's;%GANEMOS PIN;%IUCM - LV;%MOVIMIENTO;%P.P.;%P.S.O.E.;%PCAS-TC-PAC;%UPyD;%VOX
2811302005;28;2;5;41;180;14;5;224;218;0;22;5;5.783;25.388;1.975;0.705;31.594;30.748;0.0;3.103;0.705
2811302006;28;2;6;63;224;23;10;338;167;1;38;7;7.233;25.718;2.641;1.148;38.806;19.173;0.115;4.363;0.804
2811302007;28;2;7;77;183;15;5;306;177;1;27;3;9.698;23.048;1.889;0.63;38.539;22.292;0.126;3.401;0.378
2811302008;28;2;8;116;375;30;8;348;237;2;36;10;9.983;32.272;2.582;0.688;29.948;20.396;0.172;3.098;0.861
2811302009;28;2;9;88;259;20;3;267;192;3;37;8;10.034;29.532;2.281;0.342;30.445;21.893;0.342;4.219;0.912
2811302010;28;2;10;96;233;17;8;253;148;6;41;3;11.925;28.944;2.112;0.994;31.429;18.385;0.745;5.093;0.373
2811302011;28;2;11;101;227;24;0;277;163;1;54;6;11.841;26.612;2.814;0.0;32.474;19.109;0.117;6.331;0.703
2811301001;28;1;1;19;86;15;1;170;110;2;20;3;4.46;20.188;3.521;0.235;39.906;25.822;0.469;4.695;0.704
2811301002;28;1;2;76;259;11;3;257;224;3;30;7;8.736;29.77;1.264;0.345;29.54;25.747;0.345;3.448;0.805
2811301003;28;1;3;88;293;37;3;224;181;3;42;5;10.046;33.447;4.224;0.342;25.571;20.662;0.342;4.795;0.571
2811301004;28;1;4;32;152;18;6;175;178;1;17;3;5.498;26.117;3.093;1.031;30.069;30.584;0.172;2.921;0.515
2811301005;28;1;5;82;310;34;1;359;231;4;47;4;7.649;28.918;3.172;0.093;33.489;21.549;0.373;4.384;0.373
2811301006;28;1;6;146;360;42;6;383;238;4;79;6;11.551;28.481;3.323;0.475;30.301;18.829;0.316;6.25;0.475
2811302012;28;2;12;52;227;16;7;225;125;0;56;7;7.273;31.748;2.238;0.979;31.469;17.483;0.0;7.832;0.979
2811302013;28;2;13;57;173;15;5;308;127;2;47;6;7.703;23.378;2.027;0.676;41.622;17.162;0.27;6.351;0.811
2811302014;28;2;14;102;229;36;1;228;127;0;30;7;13.421;30.132;4.737;0.132;30.0;16.711;0.0;3.947;0.921
2811302015;28;2;15;106;231;29;4;201;117;2;39;3;14.481;31.557;3.962;0.546;27.459;15.984;0.273;5.328;0.41
2811301007;28;1;7;61;303;27;5;241;252;0;40;5;6.531;32.441;2.891;0.535;25.803;26.981;0.0;4.283;0.535
2811301008;28;1;8;26;162;20;5;185;157;0;18;1;4.53;28.223;3.484;0.871;32.23;27.352;0.0;3.136;0.174
2811301009;28;1;9;31;118;17;1;147;139;3;17;1;6.54;24.895;3.586;0.211;31.013;29.325;0.633;3.586;0.211
2811301010;28;1;10;102;234;16;1;230;142;1;35;4;13.333;30.588;2.092;0.131;30.065;18.562;0.131;4.575;0.523
2811301011;28;1;11;139;249;21;10;345;198;1;36;6;13.831;24.776;2.09;0.995;34.328;19.701;0.1;3.582;0.597
2811301012;28;1;12;145;197;26;11;262;164;1;42;5;16.999;23.095;3.048;1.29;30.715;19.226;0.117;4.924;0.586
2811301013;28;1;13;184;272;29;4;278;145;2;52;5;18.95;28.012;2.987;0.412;28.63;14.933;0.206;5.355;0.515
2811302001;28;2;1;45;180;11;5;216;174;0;16;8;6.87;27.481;1.679;0.763;32.977;26.565;0.0;2.443;1.221
2811302002;28;2;2;37;119;11;4;134;122;1;14;3;8.315;26.742;2.472;0.899;30.112;27.416;0.225;3.146;0.674
2811302003;28;2;3;53;197;30;7;211;148;0;39;5;7.681;28.551;4.348;1.014;30.58;21.449;0.0;5.652;0.725
2811302004;28;2;4;123;353;26;9;393;207;2;63;7;10.397;29.839;2.198;0.761;33.221;17.498;0.169;5.325;0.592
