CUSEC;PROV;DIST;SECC_CEN;C's;CILUS;IUCM-LV-GAN;LEM;P.P.;P.S.O.E.;SPOZ;UPyD;VOX;%C's;%CILUS;%IUCM-LV-GAN;%LEM;%P.P.;%P.S.O.E.;%SPOZ;%UPyD;%VOX
2811502018;28;2;18;239;6;13;4;481;76;71;17;53;24.896;0.625;1.354;0.417;50.104;7.917;7.396;1.771;5.521
2811502019;28;2;19;180;1;22;3;307;58;86;25;54;24.457;0.136;2.989;0.408;41.712;7.88;11.685;3.397;7.337
2811502020;28;2;20;210;3;17;1;356;40;48;19;26;29.167;0.417;2.361;0.139;49.444;5.556;6.667;2.639;3.611
2811502021;28;2;21;330;2;15;1;625;82;108;24;63;26.4;0.16;1.2;0.08;50.0;6.56;8.64;1.92;5.04
2811501016;28;1;16;144;2;56;0;366;98;91;31;28;17.647;0.245;6.863;0.0;44.853;12.01;11.152;3.799;3.431
2811501017;28;1;17;316;3;41;1;630;119;158;45;45;23.27;0.221;3.019;0.074;46.392;8.763;11.635;3.314;3.314
2811501018;28;1;18;213;4;33;1;504;104;46;41;38;21.646;0.407;3.354;0.102;51.22;10.569;4.675;4.167;3.862
2811501019;28;1;19;195;3;33;8;457;86;97;33;56;20.145;0.31;3.409;0.826;47.211;8.884;10.021;3.409;5.785
2811501020;28;1;20;122;2;5;2;517;30;18;12;58;15.927;0.261;0.653;0.261;67.493;3.916;2.35;1.567;7.572
2811501021;28;1;21;113;2;26;2;289;150;130;34;17;14.81;0.262;3.408;0.262;37.877;19.659;17.038;4.456;2.228
2811501022;28;1;22;204;4;22;4;555;120;86;29;32;19.318;0.379;2.083;0.379;52.557;11.364;8.144;2.746;3.03
2811501023;28;1;23;183;2;24;6;486;52;56;25;43;20.867;0.228;2.737;0.684;55.416;5.929;6.385;2.851;4.903
2811501024;28;1;24;101;2;6;3;357;32;11;16;31;18.068;0.358;1.073;0.537;63.864;5.725;1.968;2.862;5.546
2811501028;28;1;28;226;5;37;0;456;115;68;36;22;23.42;0.518;3.834;0.0;47.254;11.917;7.047;3.731;2.28
2811501029;28;1;29;300;2;42;1;465;120;139;48;38;25.974;0.173;3.636;0.087;40.26;10.39;12.035;4.156;3.29
2811501030;28;1;30;164;1;26;2;376;75;55;14;35;21.925;0.134;3.476;0.267;50.267;10.027;7.353;1.872;4.679
2811501031;28;1;31;223;3;6;3;773;24;12;10;41;20.365;0.274;0.548;0.274;70.594;2.192;1.096;0.913;3.744
2811502001;28;2;1;176;5;22;0;381;111;109;26;36;20.323;0.577;2.54;0.0;43.995;12.818;12.587;3.002;4.157
2811502002;28;2;2;156;2;19;1;422;152;138;29;28;16.473;0.211;2.006;0.106;44.562;16.051;14.572;3.062;2.957
2811501001;28;1;1;256;7;27;5;553;138;152;41;65;20.579;0.563;2.17;0.402;44.453;11.093;12.219;3.296;5.225
2811502003;28;2;3;106;6;23;1;240;174;156;37;31;13.695;0.775;2.972;0.129;31.008;22.481;20.155;4.78;4.005
2811501002;28;1;2;161;2;7;1;527;92;89;22;44;17.037;0.212;0.741;0.106;55.767;9.735;9.418;2.328;4.656
2811501004;28;1;4;47;2;15;1;110;138;77;15;4;11.491;0.489;3.667;0.244;26.895;33.741;18.826;3.667;0.978
2811501005;28;1;5;39;4;6;2;167;86;72;17;11;9.653;0.99;1.485;0.495;41.337;21.287;17.822;4.208;2.723
2811501006;28;1;6;161;5;31;1;342;113;127;21;42;19.098;0.593;3.677;0.119;40.569;13.405;15.065;2.491;4.982
2811502004;28;2;4;147;0;16;3;342;126;120;26;54;17.626;0.0;1.918;0.36;41.007;15.108;14.388;3.118;6.475
2811502005;28;2;5;216;4;35;1;379;174;170;38;39;20.455;0.379;3.314;0.095;35.89;16.477;16.098;3.598;3.693
2811502006;28;2;6;139;2;23;1;396;95;96;30;24;17.246;0.248;2.854;0.124;49.132;11.787;11.911;3.722;2.978
2811502007;28;2;7;160;3;22;1;425;107;143;40;44;16.931;0.317;2.328;0.106;44.974;11.323;15.132;4.233;4.656
2811502008;28;2;8;158;8;20;1;331;95;153;37;33;18.9;0.957;2.392;0.12;39.593;11.364;18.301;4.426;3.947
2811501007;28;1;7;36;3;10;0;98;83;67;23;7;11.009;0.917;3.058;0.0;29.969;25.382;20.489;7.034;2.141
2811501008;28;1;8;63;5;16;5;253;86;74;31;30;11.19;0.888;2.842;0.888;44.938;15.275;13.144;5.506;5.329
2811501009;28;1;9;76;10;13;5;204;113;73;23;30;13.894;1.828;2.377;0.914;37.294;20.658;13.346;4.205;5.484
2811501010;28;1;10;118;2;5;1;450;33;16;4;42;17.586;0.298;0.745;0.149;67.064;4.918;2.385;0.596;6.259
2811501011;28;1;11;59;0;9;5;149;83;76;26;10;14.149;0.0;2.158;1.199;35.731;19.904;18.225;6.235;2.398
2811501012;28;1;12;271;0;33;4;778;117;66;28;46;20.179;0.0;2.457;0.298;57.93;8.712;4.914;2.085;3.425
2811501013;28;1;13;33;2;11;1;157;169;92;10;14;6.748;0.409;2.249;0.204;32.106;34.56;18.814;2.045;2.863
2811501014;28;1;14;107;0;13;1;316;82;119;43;45;14.738;0.0;1.791;0.138;43.526;11.295;16.391;5.923;6.198
2811501015;28;1;15;152;5;28;4;331;196;141;41;32;16.344;0.538;3.011;0.43;35.591;21.075;15.161;4.409;3.441
2811502009;28;2;9;219;4;31;3;417;142;147;43;63;20.486;0.374;2.9;0.281;39.008;13.283;13.751;4.022;5.893
2811501025;28;1;25;252;11;19;1;533;89;144;29;49;22.36;0.976;1.686;0.089;47.294;7.897;12.777;2.573;4.348
2811501026;28;1;26;217;10;18;4;422;87;93;32;52;23.209;1.07;1.925;0.428;45.134;9.305;9.947;3.422;5.561
2811501027;28;1;27;181;7;12;1;389;72;56;26;53;22.71;0.878;1.506;0.125;48.808;9.034;7.026;3.262;6.65
2811502010;28;2;10;119;3;8;1;492;54;59;21;30;15.121;0.381;1.017;0.127;62.516;6.861;7.497;2.668;3.812
2811502011;28;2;11;106;1;14;0;187;68;32;13;21;23.982;0.226;3.167;0.0;42.308;15.385;7.24;2.941;4.751
2811502012;28;2;12;184;1;18;5;419;112;124;39;53;19.267;0.105;1.885;0.524;43.874;11.728;12.984;4.084;5.55
2811502013;28;2;13;309;2;38;1;611;102;148;41;64;23.48;0.152;2.888;0.076;46.429;7.751;11.246;3.116;4.863
2811502014;28;2;14;250;4;21;1;502;72;127;25;49;23.787;0.381;1.998;0.095;47.764;6.851;12.084;2.379;4.662
2811502015;28;2;15;106;2;27;0;231;77;84;32;14;18.499;0.349;4.712;0.0;40.314;13.438;14.66;5.585;2.443
2811502016;28;2;16;209;1;21;3;336;98;164;38;32;23.171;0.111;2.328;0.333;37.251;10.865;18.182;4.213;3.548
2811502017;28;2;17;96;3;7;1;173;115;127;22;13;17.235;0.539;1.257;0.18;31.059;20.646;22.801;3.95;2.334
