CUSEC;PROV;DIST;SECC_CEN;ESPAÑA2000;IUCM-LV;MOVIMIENTO;P.P.;P.S.O.E.;SFHSP;UPyD;%ESPAÑA2000;%IUCM-LV;%MOVIMIENTO;%P.P.;%P.S.O.E.;%SFHSP;%UPyD
2813001006;28;1;6;59;126;13;140;150;165;45;8.453;18.052;1.862;20.057;21.49;23.639;6.447
2813001007;28;1;7;73;152;5;203;224;215;52;7.9;16.45;0.541;21.97;24.242;23.268;5.628
2813001008;28;1;8;40;144;4;201;187;192;29;5.019;18.068;0.502;25.22;23.463;24.09;3.639
2813001009;28;1;9;47;105;4;305;180;149;26;5.76;12.868;0.49;37.377;22.059;18.26;3.186
2813001010;28;1;10;58;111;5;169;197;198;24;7.612;14.567;0.656;22.178;25.853;25.984;3.15
2813001011;28;1;11;72;203;8;278;284;293;42;6.102;17.203;0.678;23.559;24.068;24.831;3.559
2813001012;28;1;12;58;147;4;127;208;233;39;7.108;18.015;0.49;15.564;25.49;28.554;4.779
2813001013;28;1;13;46;125;2;133;113;191;27;7.221;19.623;0.314;20.879;17.739;29.984;4.239
2813001014;28;1;14;85;108;5;231;230;214;44;9.269;11.778;0.545;25.191;25.082;23.337;4.798
2813001015;28;1;15;53;153;5;252;166;205;54;5.968;17.23;0.563;28.378;18.694;23.086;6.081
2813001016;28;1;16;42;225;12;206;179;179;48;4.714;25.253;1.347;23.12;20.09;20.09;5.387
2813001017;28;1;17;36;181;6;271;138;210;45;4.059;20.406;0.676;30.552;15.558;23.675;5.073
2813001018;28;1;18;60;185;4;196;136;237;43;6.969;21.487;0.465;22.764;15.796;27.526;4.994
2813001019;28;1;19;42;164;14;162;161;252;60;4.912;19.181;1.637;18.947;18.83;29.474;7.018
2813001020;28;1;20;36;109;4;138;135;202;29;5.513;16.692;0.613;21.133;20.674;30.934;4.441
2813001021;28;1;21;50;111;8;193;160;182;29;6.821;15.143;1.091;26.33;21.828;24.829;3.956
2813001022;28;1;22;56;138;5;168;177;185;42;7.263;17.899;0.649;21.79;22.957;23.995;5.447
2813001023;28;1;23;59;117;11;216;160;184;53;7.375;14.625;1.375;27.0;20.0;23.0;6.625
2813001001;28;1;1;34;111;3;192;153;130;25;5.247;17.13;0.463;29.63;23.611;20.062;3.858
2813001002;28;1;2;72;94;12;238;216;180;38;8.471;11.059;1.412;28.0;25.412;21.176;4.471
2813001003;28;1;3;48;125;6;194;210;225;43;5.64;14.689;0.705;22.797;24.677;26.439;5.053
2813001004;28;1;4;73;113;5;213;153;153;36;9.786;15.147;0.67;28.552;20.509;20.509;4.826
2813001005;28;1;5;77;161;17;376;222;279;50;6.514;13.621;1.438;31.81;18.782;23.604;4.23
