CUSEC;PROV;DIST;SECC_CEN;C's;GANAR(IU-EQ;MOVIMIENTO;P.P.;P.S.O.E.;PxL - Con l;SÍ SE PUEDE;UPyD;%C's;%GANAR(IU-EQ;%MOVIMIENTO;%P.P.;%P.S.O.E.;%PxL - Con l;%SÍ SE PUEDE;%UPyD
2814801019;28;1;19;54;64;0;444;101;14;127;22;6.538;7.748;0.0;53.753;12.228;1.695;15.375;2.663
2814801020;28;1;20;78;45;2;357;97;14;122;14;10.7;6.173;0.274;48.971;13.306;1.92;16.735;1.92
2814801021;28;1;21;55;39;2;304;84;6;102;10;9.136;6.478;0.332;50.498;13.953;0.997;16.944;1.661
2814801001;28;1;1;33;61;0;336;143;10;126;16;4.552;8.414;0.0;46.345;19.724;1.379;17.379;2.207
2814801002;28;1;2;47;56;5;481;140;15;119;20;5.323;6.342;0.566;54.473;15.855;1.699;13.477;2.265
2814801003;28;1;3;23;45;0;270;133;3;91;17;3.952;7.732;0.0;46.392;22.852;0.515;15.636;2.921
2814801004;28;1;4;46;51;2;226;95;8;69;7;9.127;10.119;0.397;44.841;18.849;1.587;13.69;1.389
2814801005;28;1;5;16;30;2;179;62;12;77;6;4.167;7.812;0.521;46.615;16.146;3.125;20.052;1.562
2814801006;28;1;6;54;38;1;351;202;8;167;11;6.49;4.567;0.12;42.188;24.279;0.962;20.072;1.322
2814801007;28;1;7;52;48;0;312;74;8;95;10;8.681;8.013;0.0;52.087;12.354;1.336;15.86;1.669
2814801008;28;1;8;21;31;1;261;116;6;88;3;3.985;5.882;0.19;49.526;22.011;1.139;16.698;0.569
2814801009;28;1;9;35;31;1;258;105;7;93;6;6.53;5.784;0.187;48.134;19.59;1.306;17.351;1.119
2814801010;28;1;10;70;74;7;483;133;14;161;23;7.254;7.668;0.725;50.052;13.782;1.451;16.684;2.383
2814801011;28;1;11;81;81;1;493;141;7;183;17;8.068;8.068;0.1;49.104;14.044;0.697;18.227;1.693
2814801012;28;1;12;69;74;2;446;141;5;118;19;7.895;8.467;0.229;51.03;16.133;0.572;13.501;2.174
2814801013;28;1;13;74;71;6;459;196;20;234;37;6.746;6.472;0.547;41.841;17.867;1.823;21.331;3.373
2814801014;28;1;14;65;77;5;520;193;9;184;20;6.058;7.176;0.466;48.462;17.987;0.839;17.148;1.864
2814801015;28;1;15;41;49;2;393;86;9;135;20;5.578;6.667;0.272;53.469;11.701;1.224;18.367;2.721
2814801016;28;1;16;29;38;2;359;114;7;161;23;3.956;5.184;0.273;48.977;15.553;0.955;21.965;3.138
2814801017;28;1;17;57;44;1;350;104;4;147;18;7.862;6.069;0.138;48.276;14.345;0.552;20.276;2.483
2814801018;28;1;18;27;78;1;270;83;9;81;17;4.77;13.781;0.177;47.703;14.664;1.59;14.311;3.004
2814801022;28;1;22;75;50;7;572;109;9;140;24;7.606;5.071;0.71;58.012;11.055;0.913;14.199;2.434
2814801023;28;1;23;55;16;4;296;67;7;126;11;9.45;2.749;0.687;50.859;11.512;1.203;21.649;1.89
2814801024;28;1;24;50;48;2;401;73;12;145;12;6.729;6.46;0.269;53.97;9.825;1.615;19.515;1.615
2814801025;28;1;25;60;35;2;277;58;8;79;19;11.152;6.506;0.372;51.487;10.781;1.487;14.684;3.532
2814802001;28;2;1;74;46;0;360;60;11;144;31;10.193;6.336;0.0;49.587;8.264;1.515;19.835;4.27
2814802026;28;2;26;100;75;1;358;85;15;172;34;11.905;8.929;0.119;42.619;10.119;1.786;20.476;4.048
2814803001;28;3;1;28;27;3;190;84;7;50;6;7.089;6.835;0.759;48.101;21.266;1.772;12.658;1.519
2814803002;28;3;2;13;34;0;253;108;17;78;6;2.554;6.68;0.0;49.705;21.218;3.34;15.324;1.179
2814803003;28;3;3;38;54;0;374;135;17;98;11;5.227;7.428;0.0;51.444;18.569;2.338;13.48;1.513
2814803005;28;3;5;59;64;2;402;117;14;130;17;7.329;7.95;0.248;49.938;14.534;1.739;16.149;2.112
2814802002;28;2;2;95;75;4;449;155;8;132;25;10.074;7.953;0.424;47.614;16.437;0.848;13.998;2.651
2814802003;28;2;3;24;68;5;231;121;9;103;13;4.181;11.847;0.871;40.244;21.08;1.568;17.944;2.265
2814802004;28;2;4;51;58;2;385;165;5;144;33;6.05;6.88;0.237;45.67;19.573;0.593;17.082;3.915
2814802005;28;2;5;26;39;3;265;129;6;96;22;4.437;6.655;0.512;45.222;22.014;1.024;16.382;3.754
2814802006;28;2;6;29;38;2;285;120;9;102;16;4.825;6.323;0.333;47.421;19.967;1.498;16.972;2.662
2814802007;28;2;7;30;26;1;237;135;12;107;14;5.338;4.626;0.178;42.171;24.021;2.135;19.039;2.491
2814803006;28;3;6;102;94;1;759;156;10;129;26;7.987;7.361;0.078;59.436;12.216;0.783;10.102;2.036
2814803007;28;3;7;73;31;1;456;93;6;116;17;9.206;3.909;0.126;57.503;11.728;0.757;14.628;2.144
2814803008;28;3;8;44;64;1;243;58;13;107;3;8.255;12.008;0.188;45.591;10.882;2.439;20.075;0.563
2814803009;28;3;9;65;28;1;389;80;7;162;18;8.667;3.733;0.133;51.867;10.667;0.933;21.6;2.4
2814804001;28;4;1;37;31;0;304;89;2;76;11;6.727;5.636;0.0;55.273;16.182;0.364;13.818;2.0
2814804002;28;4;2;26;40;2;291;76;22;77;11;4.771;7.339;0.367;53.394;13.945;4.037;14.128;2.018
2814804003;28;4;3;50;47;3;381;83;12;86;14;7.396;6.953;0.444;56.361;12.278;1.775;12.722;2.071
2814802008;28;2;8;30;33;2;271;94;4;81;22;5.587;6.145;0.372;50.466;17.505;0.745;15.084;4.097
2814802009;28;2;9;48;40;3;333;106;4;123;21;7.08;5.9;0.442;49.115;15.634;0.59;18.142;3.097
2814804004;28;4;4;42;50;2;402;92;14;84;7;6.061;7.215;0.289;58.009;13.276;2.02;12.121;1.01
2814802010;28;2;10;45;53;2;390;120;5;117;18;6.0;7.067;0.267;52.0;16.0;0.667;15.6;2.4
2814802011;28;2;11;25;56;4;432;104;8;114;16;3.294;7.378;0.527;56.917;13.702;1.054;15.02;2.108
