CUSEC;PROV;DIST;SECC_CEN;C's;G. a. V.;IUCM - LV;P.P.;P.S.O.E.;PIVV;PROYECTO TU;UPyD;%C's;%G. a. V.;%IUCM - LV;%P.P.;%P.S.O.E.;%PIVV;%PROYECTO TU;%UPyD
2816101015;28;1;15;220;155;22;147;138;24;119;17;26.128;18.409;2.613;17.458;16.39;2.85;14.133;2.019
2816101016;28;1;16;188;159;89;94;132;26;108;25;22.899;19.367;10.84;11.449;16.078;3.167;13.155;3.045
2816101017;28;1;17;146;156;58;204;177;40;92;32;16.133;17.238;6.409;22.541;19.558;4.42;10.166;3.536
2816101018;28;1;18;311;212;73;240;196;31;130;37;25.285;17.236;5.935;19.512;15.935;2.52;10.569;3.008
2816101019;28;1;19;126;131;33;101;100;14;86;74;18.947;19.699;4.962;15.188;15.038;2.105;12.932;11.128
2816101020;28;1;20;363;189;67;187;205;42;153;52;28.855;15.024;5.326;14.865;16.296;3.339;12.162;4.134
2816101021;28;1;21;225;117;32;136;119;44;121;23;27.54;14.321;3.917;16.646;14.565;5.386;14.81;2.815
2816101001;28;1;1;125;134;44;211;171;70;118;20;13.998;15.006;4.927;23.628;19.149;7.839;13.214;2.24
2816101002;28;1;2;127;149;66;153;198;53;98;23;14.648;17.186;7.612;17.647;22.837;6.113;11.303;2.653
2816101003;28;1;3;147;155;75;181;180;36;76;18;16.935;17.857;8.641;20.853;20.737;4.147;8.756;2.074
2816102009;28;2;9;219;143;56;126;192;27;84;34;24.858;16.232;6.356;14.302;21.793;3.065;9.535;3.859
2816102010;28;2;10;409;237;86;222;182;31;136;49;30.251;17.53;6.361;16.42;13.462;2.293;10.059;3.624
2816102011;28;2;11;208;166;57;175;123;19;136;22;22.958;18.322;6.291;19.316;13.576;2.097;15.011;2.428
2816102012;28;2;12;269;164;59;149;135;13;66;20;30.743;18.743;6.743;17.029;15.429;1.486;7.543;2.286
2816101004;28;1;4;71;53;41;101;90;23;60;8;15.884;11.857;9.172;22.595;20.134;5.145;13.423;1.79
2816101005;28;1;5;45;60;22;113;123;25;62;12;9.74;12.987;4.762;24.459;26.623;5.411;13.42;2.597
2816101006;28;1;6;127;97;60;277;190;51;105;27;13.597;10.385;6.424;29.657;20.343;5.46;11.242;2.891
2816101022;28;1;22;248;126;53;144;140;18;92;37;28.904;14.685;6.177;16.783;16.317;2.098;10.723;4.312
2816101007;28;1;7;199;91;54;189;124;25;109;23;24.447;11.179;6.634;23.219;15.233;3.071;13.391;2.826
2816101008;28;1;8;189;197;64;209;176;43;110;67;17.915;18.673;6.066;19.81;16.682;4.076;10.427;6.351
2816101009;28;1;9;82;112;52;129;110;21;63;28;13.735;18.76;8.71;21.608;18.425;3.518;10.553;4.69
2816101010;28;1;10;209;231;91;163;215;18;129;36;19.139;21.154;8.333;14.927;19.689;1.648;11.813;3.297
2816101011;28;1;11;258;267;98;236;230;41;186;37;19.069;19.734;7.243;17.443;16.999;3.03;13.747;2.735
2816101012;28;1;12;279;208;59;164;156;48;99;67;25.833;19.259;5.463;15.185;14.444;4.444;9.167;6.204
2816102001;28;2;1;91;85;46;155;177;48;64;16;13.343;12.463;6.745;22.727;25.953;7.038;9.384;2.346
2816102002;28;2;2;162;153;73;190;233;44;144;23;15.851;14.971;7.143;18.591;22.798;4.305;14.09;2.25
2816102003;28;2;3;116;99;47;138;243;35;76;14;15.104;12.891;6.12;17.969;31.641;4.557;9.896;1.823
2816102004;28;2;4;154;141;74;301;180;35;153;26;14.474;13.252;6.955;28.289;16.917;3.289;14.38;2.444
2816102005;28;2;5;93;92;46;189;159;41;97;15;12.705;12.568;6.284;25.82;21.721;5.601;13.251;2.049
2816102006;28;2;6;137;50;21;129;79;8;46;13;28.364;10.352;4.348;26.708;16.356;1.656;9.524;2.692
2816102007;28;2;7;133;100;50;104;123;13;58;22;22.056;16.584;8.292;17.247;20.398;2.156;9.619;3.648
2816102008;28;2;8;236;187;83;207;221;48;137;27;20.593;16.318;7.243;18.063;19.284;4.188;11.955;2.356
2816101013;28;1;13;171;170;68;154;144;22;94;38;19.861;19.744;7.898;17.886;16.725;2.555;10.918;4.413
2816101014;28;1;14;143;126;39;121;105;5;69;33;22.309;19.657;6.084;18.877;16.381;0.78;10.764;5.148
2816102013;28;2;13;209;131;62;93;111;24;60;28;29.109;18.245;8.635;12.953;15.46;3.343;8.357;3.9
