TIPO_ELECCION;AÑO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;SECCION;MESA;COD_CAND;VOTOS_CAND
4;2015;5;1;8;9;59;7;6;B;81456;56
4;2015;5;1;8;9;59;7;6;B;82734;77
4;2015;5;1;8;9;59;7;6;B;84120;2
4;2015;5;1;8;9;59;7;6;B;84253;72
4;2015;5;1;8;9;59;7;6;B;84319;62
4;2015;5;1;8;9;59;7;6;B;84582;13
4;2015;5;1;8;9;59;7;6;B;84811;1
4;2015;5;1;8;9;59;7;6;B;85164;7
4;2015;5;1;8;9;59;7;6;B;85373;9
4;2015;5;1;8;9;59;7;7;A;81456;25
4;2015;5;1;8;9;59;7;7;A;82734;56
4;2015;5;1;8;9;59;7;7;A;84120;2
4;2015;5;1;8;9;59;7;7;A;84253;98
4;2015;5;1;8;9;59;7;7;A;84319;41
4;2015;5;1;8;9;59;7;7;A;84582;10
4;2015;5;1;8;9;59;7;7;A;84811;1
4;2015;5;1;8;9;59;7;7;A;85164;2
4;2015;5;1;8;9;59;7;7;A;85373;2
4;2015;5;1;8;9;59;7;7;B;81456;83
4;2015;5;1;8;9;59;7;7;B;82734;71
4;2015;5;1;8;9;59;7;7;B;84120;6
4;2015;5;1;8;9;59;7;7;B;84253;136
4;2015;5;1;8;9;59;7;7;B;84319;78
4;2015;5;1;8;9;59;7;7;B;84582;9
4;2015;5;1;8;9;59;7;7;B;84811;0
4;2015;5;1;8;9;59;7;7;B;85164;19
4;2015;5;1;8;9;59;7;7;B;85373;0
4;2015;5;1;8;9;59;7;8;A;81456;62
4;2015;5;1;8;9;59;7;8;A;82734;67
4;2015;5;1;8;9;59;7;8;A;84120;5
4;2015;5;1;8;9;59;7;8;A;84253;122
4;2015;5;1;8;9;59;7;8;A;84319;89
4;2015;5;1;8;9;59;7;8;A;84582;10
4;2015;5;1;8;9;59;7;8;A;84811;2
4;2015;5;1;8;9;59;7;8;A;85164;12
4;2015;5;1;8;9;59;7;8;A;85373;4
4;2015;5;1;8;9;59;7;8;B;81456;43
4;2015;5;1;8;9;59;7;8;B;82734;78
4;2015;5;1;8;9;59;7;8;B;84120;3
4;2015;5;1;8;9;59;7;8;B;84253;142
4;2015;5;1;8;9;59;7;8;B;84319;75
4;2015;5;1;8;9;59;7;8;B;84582;20
4;2015;5;1;8;9;59;7;8;B;84811;5
4;2015;5;1;8;9;59;7;8;B;85164;8
4;2015;5;1;8;9;59;7;8;B;85373;5
4;2015;5;1;8;9;59;7;9;U;81456;58
4;2015;5;1;8;9;59;7;9;U;82734;91
4;2015;5;1;8;9;59;7;9;U;84120;3
4;2015;5;1;8;9;59;7;9;U;84253;187
4;2015;5;1;8;9;59;7;9;U;84319;94
4;2015;5;1;8;9;59;7;9;U;84582;15
4;2015;5;1;8;9;59;7;9;U;84811;2
4;2015;5;1;8;9;59;7;9;U;85164;7
4;2015;5;1;8;9;59;7;9;U;85373;13
4;2015;5;1;8;9;59;7;10;A;81456;53
4;2015;5;1;8;9;59;7;10;A;82734;89
4;2015;5;1;8;9;59;7;10;A;84120;4
4;2015;5;1;8;9;59;7;10;A;84253;156
4;2015;5;1;8;9;59;7;10;A;84319;109
4;2015;5;1;8;9;59;7;10;A;84582;14
4;2015;5;1;8;9;59;7;10;A;84811;3
4;2015;5;1;8;9;59;7;10;A;85164;13
4;2015;5;1;8;9;59;7;10;A;85373;8
4;2015;5;1;8;9;59;7;10;B;81456;50
4;2015;5;1;8;9;59;7;10;B;82734;76
4;2015;5;1;8;9;59;7;10;B;84120;2
4;2015;5;1;8;9;59;7;10;B;84253;173
4;2015;5;1;8;9;59;7;10;B;84319;107
4;2015;5;1;8;9;59;7;10;B;84582;11
4;2015;5;1;8;9;59;7;10;B;84811;2
4;2015;5;1;8;9;59;7;10;B;85164;11
4;2015;5;1;8;9;59;7;10;B;85373;9
4;2015;5;1;8;9;59;8;1;U;81456;25
4;2015;5;1;8;9;59;8;1;U;82734;57
4;2015;5;1;8;9;59;8;1;U;84120;2
4;2015;5;1;8;9;59;8;1;U;84253;104
4;2015;5;1;8;9;59;8;1;U;84319;77
4;2015;5;1;8;9;59;8;1;U;84582;9
4;2015;5;1;8;9;59;8;1;U;84811;3
4;2015;5;1;8;9;59;8;1;U;85164;6
4;2015;5;1;8;9;59;8;1;U;85373;8
4;2015;5;1;8;9;59;8;2;A;81456;39
4;2015;5;1;8;9;59;8;2;A;82734;71
4;2015;5;1;8;9;59;8;2;A;84120;4
4;2015;5;1;8;9;59;8;2;A;84253;96
4;2015;5;1;8;9;59;8;2;A;84319;56
4;2015;5;1;8;9;59;8;2;A;84582;13
4;2015;5;1;8;9;59;8;2;A;84811;2
4;2015;5;1;8;9;59;8;2;A;85164;5
4;2015;5;1;8;9;59;8;2;A;85373;4
4;2015;5;1;8;9;59;8;2;B;81456;43
4;2015;5;1;8;9;59;8;2;B;82734;71
4;2015;5;1;8;9;59;8;2;B;84120;11
4;2015;5;1;8;9;59;8;2;B;84253;92
4;2015;5;1;8;9;59;8;2;B;84319;89
4;2015;5;1;8;9;59;8;2;B;84582;10
4;2015;5;1;8;9;59;8;2;B;84811;0
4;2015;5;1;8;9;59;8;2;B;85164;4
4;2015;5;1;8;9;59;8;2;B;85373;7
4;2015;5;1;8;9;59;8;3;A;81456;73
4;2015;5;1;8;9;59;8;3;A;82734;115
4;2015;5;1;8;9;59;8;3;A;84120;6
4;2015;5;1;8;9;59;8;3;A;84253;128
4;2015;5;1;8;9;59;8;3;A;84319;91
4;2015;5;1;8;9;59;8;3;A;84582;21
4;2015;5;1;8;9;59;8;3;A;84811;6
4;2015;5;1;8;9;59;8;3;A;85164;11
4;2015;5;1;8;9;59;8;3;A;85373;13
4;2015;5;1;8;9;59;8;3;B;81456;89
4;2015;5;1;8;9;59;8;3;B;82734;116
4;2015;5;1;8;9;59;8;3;B;84120;5
4;2015;5;1;8;9;59;8;3;B;84253;148
4;2015;5;1;8;9;59;8;3;B;84319;103
