TIPO_ELECCION;AÑO;MES;VUELTA;COD_CCAA;COD_PROV;COD_MUN;DISTRITO;SECCION;COD_CAND;VOTOS_CAND
4;2015;5;1;8;9;59;7;6;C's;97
4;2015;5;1;8;9;59;7;6;IMAGINA BUR;133
4;2015;5;1;8;9;59;7;6;PCAS-TC;3
4;2015;5;1;8;9;59;7;6;PP;150
4;2015;5;1;8;9;59;7;6;PSOE;131
4;2015;5;1;8;9;59;7;6;PORBUR;37
4;2015;5;1;8;9;59;7;6;SAIn;2
4;2015;5;1;8;9;59;7;6;UPYD;14
4;2015;5;1;8;9;59;7;6;VOX;16
4;2015;5;1;8;9;59;7;7;C's;108
4;2015;5;1;8;9;59;7;7;IMAGINA BUR;127
4;2015;5;1;8;9;59;7;7;PCAS-TC;8
4;2015;5;1;8;9;59;7;7;PP;234
4;2015;5;1;8;9;59;7;7;PSOE;119
4;2015;5;1;8;9;59;7;7;PORBUR;19
4;2015;5;1;8;9;59;7;7;SAIn;1
4;2015;5;1;8;9;59;7;7;UPYD;21
4;2015;5;1;8;9;59;7;7;VOX;2
4;2015;5;1;8;9;59;7;8;C's;105
4;2015;5;1;8;9;59;7;8;IMAGINA BUR;145
4;2015;5;1;8;9;59;7;8;PCAS-TC;8
4;2015;5;1;8;9;59;7;8;PP;264
4;2015;5;1;8;9;59;7;8;PSOE;164
4;2015;5;1;8;9;59;7;8;PORBUR;30
4;2015;5;1;8;9;59;7;8;SAIn;7
4;2015;5;1;8;9;59;7;8;UPYD;20
4;2015;5;1;8;9;59;7;8;VOX;9
4;2015;5;1;8;9;59;7;9;C's;58
4;2015;5;1;8;9;59;7;9;IMAGINA BUR;91
4;2015;5;1;8;9;59;7;9;PCAS-TC;3
4;2015;5;1;8;9;59;7;9;PP;187
4;2015;5;1;8;9;59;7;9;PSOE;94
4;2015;5;1;8;9;59;7;9;PORBUR;15
4;2015;5;1;8;9;59;7;9;SAIn;2
4;2015;5;1;8;9;59;7;9;UPYD;7
4;2015;5;1;8;9;59;7;9;VOX;13
4;2015;5;1;8;9;59;7;10;C's;103
4;2015;5;1;8;9;59;7;10;IMAGINA BUR;165
4;2015;5;1;8;9;59;7;10;PCAS-TC;6
4;2015;5;1;8;9;59;7;10;PP;329
4;2015;5;1;8;9;59;7;10;PSOE;216
4;2015;5;1;8;9;59;7;10;PORBUR;25
4;2015;5;1;8;9;59;7;10;SAIn;5
4;2015;5;1;8;9;59;7;10;UPYD;24
4;2015;5;1;8;9;59;7;10;VOX;17
4;2015;5;1;8;9;59;8;1;C's;25
4;2015;5;1;8;9;59;8;1;IMAGINA BUR;57
4;2015;5;1;8;9;59;8;1;PCAS-TC;2
4;2015;5;1;8;9;59;8;1;PP;104
4;2015;5;1;8;9;59;8;1;PSOE;77
4;2015;5;1;8;9;59;8;1;PORBUR;9
4;2015;5;1;8;9;59;8;1;SAIn;3
4;2015;5;1;8;9;59;8;1;UPYD;6
4;2015;5;1;8;9;59;8;1;VOX;8
4;2015;5;1;8;9;59;8;2;C's;82
4;2015;5;1;8;9;59;8;2;IMAGINA BUR;142
4;2015;5;1;8;9;59;8;2;PCAS-TC;15
4;2015;5;1;8;9;59;8;2;PP;188
4;2015;5;1;8;9;59;8;2;PSOE;145
4;2015;5;1;8;9;59;8;2;PORBUR;23
4;2015;5;1;8;9;59;8;2;SAIn;2
4;2015;5;1;8;9;59;8;2;UPYD;9
4;2015;5;1;8;9;59;8;2;VOX;11
4;2015;5;1;8;9;59;8;3;C's;162
4;2015;5;1;8;9;59;8;3;IMAGINA BUR;231
4;2015;5;1;8;9;59;8;3;PCAS-TC;11
4;2015;5;1;8;9;59;8;3;PP;276
4;2015;5;1;8;9;59;8;3;PSOE;194
4;2015;5;1;8;9;59;8;3;PORBUR;38
4;2015;5;1;8;9;59;8;3;SAIn;10
4;2015;5;1;8;9;59;8;3;UPYD;31
4;2015;5;1;8;9;59;8;3;VOX;22
4;2015;5;1;8;9;59;8;4;C's;158
4;2015;5;1;8;9;59;8;4;IMAGINA BUR;70
4;2015;5;1;8;9;59;8;4;PCAS-TC;1
4;2015;5;1;8;9;59;8;4;PP;275
4;2015;5;1;8;9;59;8;4;PSOE;85
4;2015;5;1;8;9;59;8;4;PORBUR;21
4;2015;5;1;8;9;59;8;4;SAIn;6
4;2015;5;1;8;9;59;8;4;UPYD;16
4;2015;5;1;8;9;59;8;4;VOX;37
4;2015;5;1;8;9;59;8;5;C's;281
4;2015;5;1;8;9;59;8;5;IMAGINA BUR;284
4;2015;5;1;8;9;59;8;5;PCAS-TC;5
4;2015;5;1;8;9;59;8;5;PP;338
4;2015;5;1;8;9;59;8;5;PSOE;229
4;2015;5;1;8;9;59;8;5;PORBUR;36
4;2015;5;1;8;9;59;8;5;SAIn;8
4;2015;5;1;8;9;59;8;5;UPYD;29
4;2015;5;1;8;9;59;8;5;VOX;24
4;2015;5;1;8;9;59;9;2;C's;29
4;2015;5;1;8;9;59;9;2;IMAGINA BUR;95
4;2015;5;1;8;9;59;9;2;PCAS-TC;8
4;2015;5;1;8;9;59;9;2;PP;138
4;2015;5;1;8;9;59;9;2;PSOE;172
4;2015;5;1;8;9;59;9;2;PORBUR;9
4;2015;5;1;8;9;59;9;2;SAIn;2
