CUSEC;PROV;DIST;SECC_CEN;C's;IMAGINA BUR;PCAS-TC;PORBUR;PP;PSOE;SAIn;UPYD;VOX
0905907006;09;7;06;97;133;3;37;150;131;2;14;16
0905907007;09;7;07;108;127;8;19;234;119;1;21;2
0905907008;09;7;08;105;145;8;30;264;164;7;20;9
0905907009;09;7;09;58;91;3;15;187;94;2;7;13
0905907010;09;7;10;103;165;6;25;329;216;5;24;17
0905908001;09;8;01;25;57;2;9;104;77;3;6;8
0905908002;09;8;02;82;142;15;23;188;145;2;9;11
0905908003;09;8;03;162;231;11;38;276;194;10;31;22
0905908004;09;8;04;158;70;1;21;275;85;6;16;37
0905908005;09;8;05;281;284;5;36;338;229;8;29;24
0905909002;09;9;02;29;95;8;9;138;172;2;9;9
0905909003;09;9;03;67;140;8;10;174;209;1;13;6
0905909004;09;9;04;31;57;9;8;106;135;3;4;2
0905909005;09;9;05;42;90;5;10;107;178;3;8;7
0905909006;09;9;06;58;111;3;15;120;119;0;17;5
0905909007;09;9;07;158;190;14;17;308;279;2;21;18
0905909008;09;9;08;32;117;2;11;193;158;2;8;14
0905909009;09;9;09;53;95;3;8;110;137;4;22;7
0905909010;09;9;10;30;90;3;7;117;115;4;9;20
0905909011;09;9;11;64;86;5;11;168;179;2;12;9
0905909012;09;9;12;85;241;11;16;202;281;5;29;28
0905909013;09;9;13;59;108;3;11;138;143;0;9;2
0905909014;09;9;14;34;99;8;20;121;159;3;14;5
0905909015;09;9;15;67;123;5;11;105;169;6;15;5
0905909016;09;9;16;162;193;20;18;266;265;0;33;15
0905908006;09;8;06;110;158;4;26;323;143;7;22;35
0905908007;09;8;07;44;95;5;15;144;118;0;5;9
0905908008;09;8;08;149;237;9;36;277;229;11;33;14
0905908009;09;8;09;56;87;8;6;146;89;1;16;2
0905908010;09;8;10;102;158;11;22;148;114;3;12;13
0905908011;09;8;11;180;107;3;21;309;114;4;31;22
0905909001;09;9;01;41;117;6;4;143;156;2;13;5
0905906006;09;6;06;92;140;2;20;228;118;3;15;16
0905906007;09;6;07;152;171;9;16;405;192;11;27;12
0905906008;09;6;08;80;118;6;17;140;116;9;24;10
0905906009;09;6;09;42;78;4;10;183;95;6;11;4
0905906010;09;6;10;47;60;5;4;125;99;2;7;5
0905906011;09;6;11;46;69;3;10;165;83;1;8;11
