TIPO_ELECCION;AÑO;MES;COD_CAND;SIGLAS_CAND;DENOM_CAND;COD_NPROV;COD_NAUT;COD_NNAC
4;2015;5;198;AGRUPACION;AGRUPACION DE ELECTORES EL VISO SI PUEDE;198;198;198
4;2015;5;199;AGRUPACION;AGRUPACION DE ELECTORES EN MOVIMIENTO VALVERDE DE;199;199;199
4;2015;5;200;Errenteria;AGRUPACION DE ELECTORES ERRENTERIA IRABAZIZ;200;200;200
4;2015;5;201;G.H.E;"AGRUPACIÓN DE ELECTORES ""GABIRIA""";201;201;201
4;2015;5;202;GANA LANTEI;AGRUPACIÓN DE ELECTORES GANA LANTEIRA;202;202;202
4;2015;5;203;A.d.E.G.A.S;AGRUPACION DE ELECTORES GANEMOS ALPUJARRA DE LA SI;203;203;203
4;2015;5;204;G.J.;AGRUPACION DE ELECTORES GANEMOS JEREZ;204;204;204
4;2015;5;205;AdE GL;AGRUPACION DE ELECTORES GANEMOS LANJARON;205;205;205
4;2015;5;206;AdE GO;AGRUPACION DE ELECTORES GANEMOS ORGIVA;206;206;206
4;2015;5;207;GANEMOS SAL;AGRUPACION DE ELECTORES GANEMOS SALAMANCA;207;207;207
4;2015;5;208;A.E.G.T;AGRUPACION DE ELECTORES GANEMOS TORVIZCON;208;208;208
4;2015;5;209;GDZ;AGRUPACION DE ELECTORES: GENTE DE ZUJAR;209;209;209
4;2015;5;211;G.I.G.;AGRUPACION DE ELECTORES GRUPO INDEPENDIENTE DE GAL;211;211;211
4;2015;5;212;GIPR;"AGRUPACIÓN DE ELECTORES ""GRUPO INDEPENDIENTE POR P";212;212;212
4;2015;5;213;G.R.;AGRUPACIÓN DE ELECTORES GUANYEM ROCAFORT;213;213;213
4;2015;5;214;A.E.G.;AGRUPACIÓN DE ELECTORES GUATIZALEMA;214;214;214
4;2015;5;215;HSI;AGRUPACION DE ELECTORES HIGUERA INDEPENDIENTE;215;215;215
4;2015;5;216;HC;AGRUPACIÓN DE ELECTORES HUENEJA CAMBIA;216;216;216
4;2015;5;217;ILLESCAS SI;AGRUPACION DE ELECTORES ILLESCAS SI PUEDE;217;217;217
4;2015;5;218;A.E.I.C.C.;AGRUPACIÓN DE ELECTORES INDEPENDIENTE COMUNIDAD CI;218;218;218
4;2015;5;219;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE CREMENES;219;219;219
4;2015;5;220;IA;AGRUPACION DE ELECTORES INDEPENDIENTE DE ALGADEFE;220;220;220
4;2015;5;221;A.E.I.C.;AGRUPACION DE ELECTORES INDEPENDIENTE DE CARDIEL;221;221;221
4;2015;5;222;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE DE CIMANES D;222;222;222
4;2015;5;223;AIC;AGRUPACION DE ELECTORES INDEPENDIENTE DE CUADROS;223;223;223
4;2015;5;224;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE DE GALINDO Y;224;224;224
4;2015;5;225;AEIG;AGRUPACIÓN DE ELECTORES INDEPENDIENTE DE GORAFE;225;225;225
4;2015;5;226;A.E.I.R.C;AGRUPACION DE ELECTORES INDEPENDIENTE DE ROBLEDO D;226;226;226
4;2015;5;227;A.I.R.;AGRUPACION DE ELECTORES INDEPENDIENTE DE RUIDERA;227;227;227
4;2015;5;228;A.E.I.S.;AGRUPACION DE ELECTORES INDEPENDIENTE DE SAÚCA;228;228;228
4;2015;5;229;ADEI;AGRUPACION DE ELECTORES INDEPENDIENTE DE VALDERRUE;229;229;229
4;2015;5;231;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTE RIO ESLA;231;231;231
4;2015;5;232;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTES;232;232;232
4;2015;5;234;IdeA;Agrupación de electores Independientes de Abla;234;234;234
4;2015;5;235;I.D.A.R.;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALAGON D;235;235;235
4;2015;5;236;AEIAM;AGRUPACIÓN DE ELECTORES INDEPENDIENTES DE ALGAR DE;236;236;236
4;2015;5;237;A.E.I.A.;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALMANSA;237;237;237
4;2015;5;238;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTES DE ALMONAST;238;238;238
4;2015;5;239;A.D.EC.I.A.;AGRUPACION DE ELECTORES INDEPENDIENTES DE AUÑON;239;239;239
4;2015;5;240;IxR;AGRUPACION DE ELECTORES INDEPENDIENTES DE LAS REGU;240;240;240
4;2015;5;241;AEPILS;AGRUPACION DE ELECTORES INDEPENDIENTES DE LINARES;241;241;241
4;2015;5;242;A.E.I.O;AGRUPACION DE ELECTORES INDEPENDIENTES DE ONTIGOLA;242;242;242
4;2015;5;243;AGRUPACION;AGRUPACION DE ELECTORES INDEPENDIENTES DE RIBEROS;243;243;243
4;2015;5;244;IdR;AGRUPACION DE ELECTORES INDEPENDIENTES DE RODEIRO;244;244;244
4;2015;5;245;AEIV;AGRUPACION DE ELECTORES INDEPENDIENTES DE VILLASEL;245;245;245
4;2015;5;246;AEIA;AGRUPACION DE ELECTORES INDEPENDIENTES POR ALFACAR;246;246;246
4;2015;5;247;A.E.I. POR;AGRUPACION DE ELECTORES INDEPENDIENTES POR LA DIGN;247;247;247
4;2015;5;248;A.E.I.M.;AGRUPACION DE ELECTORES INDEPENDIENTES POR LA MALA;248;248;248
4;2015;5;249;AIMA;AGRUPACION DE ELECTORES INDEPENDIENTES POR LOS MAR;249;249;249
4;2015;5;250;I.P.M.;AGRUPACION DE ELECTORES INDEPENDIENTES POR MOLINA;250;250;250
4;2015;5;251;IPV;AGRUPACION DE ELECTORES INDEPENDIENTES POR VALDELA;251;251;251
